dataset,model,condition,n_recordings,mean_pearson,median_pearson,min_pearson,max_pearson,negative_recording_count,recording_ids
etard_tf64_p00,adt,clean,4,0.011280533605831037,0.019547571312836222,-0.05026798835100579,0.0562949801486575,1,test_-_P00_-_clean_part_1|test_-_P00_-_clean_part_2|test_-_P00_-_clean_part_3|test_-_P00_-_clean_part_4
etard_tf64_p00,adt,fM,4,0.06496120304536543,0.03912447916024396,0.006913623726747803,0.17468223013422599,0,test_-_P00_-_fM_part_1|test_-_P00_-_fM_part_2|test_-_P00_-_fM_part_3|test_-_P00_-_fM_part_4
etard_tf64_p00,adt,fW,4,0.0059492801585088635,-0.018309515436056453,-0.0886523663087068,0.14906851781485517,2,test_-_P00_-_fW_part_1|test_-_P00_-_fW_part_2|test_-_P00_-_fW_part_3|test_-_P00_-_fW_part_4
etard_tf64_p00,adt,hb,4,0.133853047309705,0.1305443352054317,0.004168114880090026,0.27015540394786647,0,test_-_P00_-_hb_part_1|test_-_P00_-_hb_part_2|test_-_P00_-_hb_part_3|test_-_P00_-_hb_part_4
etard_tf64_p00,adt,lb,4,0.010247115702172543,0.039394104641205574,-0.08891934419165472,0.05111959771793375,1,test_-_P00_-_lb_part_1|test_-_P00_-_lb_part_2|test_-_P00_-_lb_part_3|test_-_P00_-_lb_part_4
etard_tf64_p00,adt,mb,4,0.11243961459626571,0.11127517489964596,-0.03844433125768319,0.26565243984345416,1,test_-_P00_-_mb_part_1|test_-_P00_-_mb_part_2|test_-_P00_-_mb_part_3|test_-_P00_-_mb_part_4
etard_tf64_p00,cca,clean,4,0.08635460935905324,0.11356288968954363,-0.11009224437864133,0.22838490243576706,1,test_-_P00_-_clean_part_1|test_-_P00_-_clean_part_2|test_-_P00_-_clean_part_3|test_-_P00_-_clean_part_4
etard_tf64_p00,cca,fM,4,0.01621758210349839,-0.0011306677298496288,-0.08035398930937024,0.14748565318306306,2,test_-_P00_-_fM_part_1|test_-_P00_-_fM_part_2|test_-_P00_-_fM_part_3|test_-_P00_-_fM_part_4
etard_tf64_p00,cca,fW,4,0.10747095094991822,0.10794886103107812,0.05725901255407157,0.15672706918344506,0,test_-_P00_-_fW_part_1|test_-_P00_-_fW_part_2|test_-_P00_-_fW_part_3|test_-_P00_-_fW_part_4
etard_tf64_p00,cca,hb,4,0.03961156122932743,0.04383038874047728,-0.015400696534583487,0.08618616397093863,1,test_-_P00_-_hb_part_1|test_-_P00_-_hb_part_2|test_-_P00_-_hb_part_3|test_-_P00_-_hb_part_4
etard_tf64_p00,cca,lb,4,0.07285233571067318,0.07051886225106603,0.05182726848318277,0.09854434985737788,0,test_-_P00_-_lb_part_1|test_-_P00_-_lb_part_2|test_-_P00_-_lb_part_3|test_-_P00_-_lb_part_4
etard_tf64_p00,cca,mb,4,0.06017876614402444,0.073185749374718,-0.009315600896815737,0.10365916672347751,1,test_-_P00_-_mb_part_1|test_-_P00_-_mb_part_2|test_-_P00_-_mb_part_3|test_-_P00_-_mb_part_4
etard_tf64_p00,fcnn,clean,4,0.045451112976261594,0.03796190923110905,-0.010651433806079155,0.11653206724890743,2,test_-_P00_-_clean_part_1|test_-_P00_-_clean_part_2|test_-_P00_-_clean_part_3|test_-_P00_-_clean_part_4
etard_tf64_p00,fcnn,fM,4,0.0033821370597764584,0.03583422911911375,-0.14375315329446384,0.08561324329534217,1,test_-_P00_-_fM_part_1|test_-_P00_-_fM_part_2|test_-_P00_-_fM_part_3|test_-_P00_-_fM_part_4
etard_tf64_p00,fcnn,fW,4,0.0017817617031101601,0.010545567704527572,-0.040352680778030156,0.026388592181415652,1,test_-_P00_-_fW_part_1|test_-_P00_-_fW_part_2|test_-_P00_-_fW_part_3|test_-_P00_-_fW_part_4
etard_tf64_p00,fcnn,hb,4,0.04746465829679032,0.06110936530898557,-0.035023942709524455,0.10266384527871461,1,test_-_P00_-_hb_part_1|test_-_P00_-_hb_part_2|test_-_P00_-_hb_part_3|test_-_P00_-_hb_part_4
etard_tf64_p00,fcnn,lb,4,0.07842592520660653,0.07719442789659337,0.018240651345387084,0.1410741936878523,0,test_-_P00_-_lb_part_1|test_-_P00_-_lb_part_2|test_-_P00_-_lb_part_3|test_-_P00_-_lb_part_4
etard_tf64_p00,fcnn,mb,4,0.008892760280740365,-0.008565591957564539,-0.03845209044458025,0.09115431548267078,2,test_-_P00_-_mb_part_1|test_-_P00_-_mb_part_2|test_-_P00_-_mb_part_3|test_-_P00_-_mb_part_4
etard_tf64_p00,ridge,clean,4,0.12119243231119828,0.1573701522030258,-0.01080015315726197,0.18082957799600344,1,test_-_P00_-_clean_part_1|test_-_P00_-_clean_part_2|test_-_P00_-_clean_part_3|test_-_P00_-_clean_part_4
etard_tf64_p00,ridge,fM,4,0.02539465154402563,0.06680383714125525,-0.1540251277269513,0.12199605962054332,1,test_-_P00_-_fM_part_1|test_-_P00_-_fM_part_2|test_-_P00_-_fM_part_3|test_-_P00_-_fM_part_4
etard_tf64_p00,ridge,fW,4,0.06079773902474389,0.060670531041282914,0.03211671398692091,0.08973318002948884,0,test_-_P00_-_fW_part_1|test_-_P00_-_fW_part_2|test_-_P00_-_fW_part_3|test_-_P00_-_fW_part_4
etard_tf64_p00,ridge,hb,4,0.1138808925243737,0.11763951933656129,0.049913058555508164,0.17033147286886402,0,test_-_P00_-_hb_part_1|test_-_P00_-_hb_part_2|test_-_P00_-_hb_part_3|test_-_P00_-_hb_part_4
etard_tf64_p00,ridge,lb,4,0.13523997093102422,0.14888075678061424,0.03375251491025442,0.209445855252614,0,test_-_P00_-_lb_part_1|test_-_P00_-_lb_part_2|test_-_P00_-_lb_part_3|test_-_P00_-_lb_part_4
