dataset,model_family,old_source_file,old_model_id,old_mean_metric,old_std_metric,old_n_subjects,old_metric_name,old_epoch_budget_or_best_epoch,current_dataset_id,current_subject_id,current_metric,current_num_recordings,current_checkpoint_id,difference_current_minus_old,directly_comparable,non_comparability_reason
etard_tf64,ADT-exact,E:\decode\experiments\adt_exact_reference\etard_tf64_all_e100\summary.json,adt_exact,0.08597070755065966,0.044532857832957816,20,pearson_metric,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
etard_tf64,ADT-exact,E:\decode\experiments\adt_exact_reference\etard_tf64_all_e100\summary.json,adt_exact,0.08597070755065966,0.044532857832957816,20,pearson_metric,best_epoch=5;epochs_requested=100,etard_tf64_p00,P00,0.056455132402974756,24,adt_epoch_2,-0.029515575147684908,no,single-subject pilot with much smaller epoch budget vs historical full-subject exact-port summary
etard_tf64,AvgCorr-LASSO,E:\decode\experiments\reference_baselines\etard_tf64\avgcorr_lasso\metrics.csv,avgcorr_lasso,0.09477005070075388,0.04078645616514179,20,test_pearson,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
etard_tf64,AvgCorr-Ridge,E:\decode\experiments\reference_baselines\etard_tf64\avgcorr_ridge\metrics.csv,avgcorr_ridge,0.09699710521381347,0.044777958219329735,20,test_pearson,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
etard_tf64,CCA,E:\decode\experiments\reference_baselines\etard_tf64\cca\metrics.csv,cca,0.0679813801665579,0.02319389466467407,20,test_recon_corr,legacy_unified_summary,etard_tf64_p00,P00,0.06378096758274915,24,cca_nc_1,-0.004200412583808752,no,single-subject P00 pilot vs historical all-subject mean
etard_tf64,CNN,E:\decode\experiments\reference_baselines\etard_tf64\cnn\metrics.csv,cnn,0.09558634748682378,0.04217291428706748,20,test_pearson,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
etard_tf64,EEGNet,E:\decode\experiments\reference_baselines\etard_tf64\eegnet\metrics.csv,eegnet,0.10030104136094446,0.04107546499380005,20,test_pearson,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
etard_tf64,FCNN,E:\decode\experiments\reference_baselines\etard_tf64\fcnn\metrics.csv,fcnn,0.06210834784433241,0.0197808255467008,20,test_pearson,legacy_unified_summary,etard_tf64_p00,P00,0.03089972592054757,24,fcnn_epoch_3,-0.03120862192378484,no,single-subject P00 pilot vs historical all-subject mean
etard_tf64,HappyQuokka (g-con),E:\decode\experiments\happyquokka_reference\etard_tf64_e100_gcon\summary.json,happyquokka_gcon,0.12868241965770721,0.05073249340057373,20,pearson_metric,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
etard_tf64,HappyQuokka (g-con),E:\decode\experiments\happyquokka_reference\etard_tf64_e100_gcon\summary.json,happyquokka_gcon,0.12868241965770721,0.05073249340057373,20,pearson_metric,best_epoch=94;epochs_requested=100,,,,,,,not_rerun,specialized model listed as background only; not rerun in current pilot
etard_tf64,NULL,E:\decode\experiments\neuroconformer_reference\etard_tf64_e10_gcon\summary.json,null_gcon,0.14799360930919647,0.06130240112543106,20,pearson_metric,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
etard_tf64,NULL,E:\decode\experiments\neuroconformer_reference\etard_tf64_e10_gcon\summary.json,null_gcon,0.14799360930919647,0.06130240112543106,20,pearson_metric,best_epoch=9;epochs_requested=10,,,,,,,not_rerun,specialized model listed as background only; not rerun in current pilot
etard_tf64,Ridge,E:\decode\experiments\reference_baselines\etard_tf64\ridge\metrics.csv,ridge,0.09815598158165809,0.04082307186669369,20,test_pearson,legacy_unified_summary,etard_tf64_p00,P00,0.08856015451578379,24,ridge_alpha_10.0,-0.009595827065874293,no,single-subject P00 pilot vs historical all-subject mean
etard_tf64,VLAAI-exact,E:\decode\experiments\vlaai_exact_reference\etard_tf64_all_e100\summary.json,vlaai_exact,0.11283406731633687,0.04158826354333961,20,pearson_metric,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
etard_tf64,VLAAI-exact,E:\decode\experiments\vlaai_exact_reference\etard_tf64_all_e100\summary.json,vlaai_exact,0.11283406731633687,0.04158826354333961,20,pearson_metric,best_epoch=5;epochs_requested=100,,,,,,,not_rerun,specialized model listed as background only; not rerun in current pilot
weissbart_tf64,ADT-exact,E:\decode\experiments\adt_exact_reference\weissbart_tf64_all_e100\summary.json,adt_exact,0.1146710381025781,0.03926196174429077,13,pearson_metric,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
weissbart_tf64,ADT-exact,E:\decode\experiments\adt_exact_reference\weissbart_tf64_all_e100\summary.json,adt_exact,0.1146710381025781,0.03926196174429077,13,pearson_metric,best_epoch=14;epochs_requested=100,weissbart_tf64_p00,P00,0.16295074601240866,15,adt_epoch_2,0.04827970790983056,no,single-subject pilot with much smaller epoch budget vs historical full-subject exact-port summary
weissbart_tf64,AvgCorr-LASSO,E:\decode\experiments\reference_baselines\weissbart_tf64\avgcorr_lasso\metrics.csv,avgcorr_lasso,0.1341277561508692,0.02915759101657462,13,test_pearson,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
weissbart_tf64,AvgCorr-Ridge,E:\decode\experiments\reference_baselines\weissbart_tf64\avgcorr_ridge\metrics.csv,avgcorr_ridge,0.13564607214469174,0.026371039353889503,13,test_pearson,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
weissbart_tf64,AvgDec-Ridge,E:\decode\experiments\reference_baselines\weissbart_tf64\avgdec_ridge\metrics.csv,avgdec_ridge,0.1245000918324177,0.02890932514523458,13,test_pearson,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
weissbart_tf64,CCA,E:\decode\experiments\reference_baselines\weissbart_tf64\cca\metrics.csv,cca,0.09308377949612393,0.024551007407095992,13,test_recon_corr,legacy_unified_summary,weissbart_tf64_p00,P00,0.06411140220705791,15,cca_nc_2,-0.028972377289066015,no,single-subject P00 pilot vs historical all-subject mean
weissbart_tf64,CNN,E:\decode\experiments\reference_baselines\weissbart_tf64\cnn\metrics.csv,cnn,0.12276506252013718,0.037281978966669224,13,test_pearson,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
weissbart_tf64,EEGNet,E:\decode\experiments\reference_baselines\weissbart_tf64\eegnet\metrics.csv,eegnet,0.14650075710736785,0.03269041180664531,13,test_pearson,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
weissbart_tf64,FCNN,E:\decode\experiments\reference_baselines\weissbart_tf64\fcnn\metrics.csv,fcnn,0.09047852829098699,0.04188848703767007,13,test_pearson,legacy_unified_summary,weissbart_tf64_p00,P00,0.050608068098467046,15,fcnn_epoch_4,-0.03987046019251994,no,single-subject P00 pilot vs historical all-subject mean
weissbart_tf64,HappyQuokka (g-con),E:\decode\experiments\happyquokka_reference\weissbart_tf64_e100_gcon\summary.json,happyquokka_gcon,0.15765976905822754,0.05383545532822609,13,pearson_metric,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
weissbart_tf64,HappyQuokka (g-con),E:\decode\experiments\happyquokka_reference\weissbart_tf64_e100_gcon\summary.json,happyquokka_gcon,0.15765976905822754,0.05383545532822609,13,pearson_metric,best_epoch=90;epochs_requested=100,,,,,,,not_rerun,specialized model listed as background only; not rerun in current pilot
weissbart_tf64,NULL,E:\decode\experiments\neuroconformer_reference\weissbart_tf64_e10_gcon\summary.json,null_gcon,0.19929049909114838,0.057500988245010376,13,pearson_metric,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
weissbart_tf64,NULL,E:\decode\experiments\neuroconformer_reference\weissbart_tf64_e10_gcon\summary.json,null_gcon,0.19929049909114838,0.057500988245010376,13,pearson_metric,best_epoch=10;epochs_requested=10,,,,,,,not_rerun,specialized model listed as background only; not rerun in current pilot
weissbart_tf64,Ridge,E:\decode\experiments\reference_baselines\weissbart_tf64\ridge\metrics.csv,ridge,0.133159485573952,0.02896221832845037,13,test_pearson,legacy_unified_summary,weissbart_tf64_p00,P00,0.13254733446979064,15,ridge_alpha_100.0,-0.0006121511041613514,no,single-subject P00 pilot vs historical all-subject mean
weissbart_tf64,VLAAI-exact,E:\decode\experiments\vlaai_exact_reference\weissbart_tf64_all_e100\summary.json,vlaai_exact,0.13891691943438697,0.03346938705063725,13,pearson_metric,legacy_unified_summary,,,,,,,not_rerun,model not rerun in current article pilot
weissbart_tf64,VLAAI-exact,E:\decode\experiments\vlaai_exact_reference\weissbart_tf64_all_e100\summary.json,vlaai_exact,0.13891691943438697,0.03346938705063725,13,pearson_metric,best_epoch=6;epochs_requested=100,,,,,,,not_rerun,specialized model listed as background only; not rerun in current pilot
