source_dataset,target_dataset,model,seed,stage,subject_id,zero_shot_metric,calibrated_metric,delta,actual_calibration_seconds,actual_train_seconds,actual_val_seconds,final_test_seconds,calibration_train_recording_ids,calibration_val_recording_ids,test_recording_ids
weissbart_tf64,etard_tf64,eegnet,0,pooled10_target_calibration,P17,0.053457501127396244,0.09802822923105892,0.04457072810366267,611.875,487.828125,124.046875,669.953125,train_-_P17_-_clean_part_1|train_-_P17_-_clean_part_2|train_-_P17_-_clean_part_3|train_-_P17_-_clean_part_4,val_-_P17_-_clean_part_1|val_-_P17_-_clean_part_2|val_-_P17_-_clean_part_3|val_-_P17_-_clean_part_4|val_-_P17_-_cleanDutch_part_1|val_-_P17_-_cleanDutch_part_2|val_-_P17_-_cleanDutch_part_3|val_-_P17_-_cleanDutch_part_4,test_-_P17_-_clean_part_1|test_-_P17_-_clean_part_2|test_-_P17_-_clean_part_3|test_-_P17_-_clean_part_4|test_-_P17_-_cleanDutch_part_1|test_-_P17_-_cleanDutch_part_2|test_-_P17_-_cleanDutch_part_3|test_-_P17_-_cleanDutch_part_4|test_-_P17_-_fM_part_1|test_-_P17_-_fM_part_2|test_-_P17_-_fM_part_3|test_-_P17_-_fM_part_4|test_-_P17_-_fW_part_1|test_-_P17_-_fW_part_2|test_-_P17_-_fW_part_3|test_-_P17_-_fW_part_4|test_-_P17_-_hb_part_1|test_-_P17_-_hb_part_2|test_-_P17_-_hb_part_3|test_-_P17_-_hb_part_4|test_-_P17_-_hbDutch_part_1|test_-_P17_-_hbDutch_part_2|test_-_P17_-_hbDutch_part_3|test_-_P17_-_hbDutch_part_4|test_-_P17_-_lb_part_1|test_-_P17_-_lb_part_2|test_-_P17_-_lb_part_3|test_-_P17_-_lb_part_4|test_-_P17_-_lbDutch_part_1|test_-_P17_-_lbDutch_part_2|test_-_P17_-_lbDutch_part_3|test_-_P17_-_lbDutch_part_4|test_-_P17_-_mb_part_1|test_-_P17_-_mb_part_2|test_-_P17_-_mb_part_3|test_-_P17_-_mb_part_4|test_-_P17_-_mbDutch_part_1|test_-_P17_-_mbDutch_part_2|test_-_P17_-_mbDutch_part_3|test_-_P17_-_mbDutch_part_4
weissbart_tf64,etard_tf64,eegnet,0,pooled10_target_calibration,P16,0.07426801150849179,0.095847603024731,0.021579591516239213,611.875,487.828125,124.046875,669.953125,train_-_P16_-_clean_part_1|train_-_P16_-_clean_part_2|train_-_P16_-_clean_part_3|train_-_P16_-_clean_part_4,val_-_P16_-_clean_part_1|val_-_P16_-_clean_part_2|val_-_P16_-_clean_part_3|val_-_P16_-_clean_part_4|val_-_P16_-_cleanDutch_part_1|val_-_P16_-_cleanDutch_part_2|val_-_P16_-_cleanDutch_part_3|val_-_P16_-_cleanDutch_part_4,test_-_P16_-_clean_part_1|test_-_P16_-_clean_part_2|test_-_P16_-_clean_part_3|test_-_P16_-_clean_part_4|test_-_P16_-_cleanDutch_part_1|test_-_P16_-_cleanDutch_part_2|test_-_P16_-_cleanDutch_part_3|test_-_P16_-_cleanDutch_part_4|test_-_P16_-_fM_part_1|test_-_P16_-_fM_part_2|test_-_P16_-_fM_part_3|test_-_P16_-_fM_part_4|test_-_P16_-_fW_part_1|test_-_P16_-_fW_part_2|test_-_P16_-_fW_part_3|test_-_P16_-_fW_part_4|test_-_P16_-_hb_part_1|test_-_P16_-_hb_part_2|test_-_P16_-_hb_part_3|test_-_P16_-_hb_part_4|test_-_P16_-_hbDutch_part_1|test_-_P16_-_hbDutch_part_2|test_-_P16_-_hbDutch_part_3|test_-_P16_-_hbDutch_part_4|test_-_P16_-_lb_part_1|test_-_P16_-_lb_part_2|test_-_P16_-_lb_part_3|test_-_P16_-_lb_part_4|test_-_P16_-_lbDutch_part_1|test_-_P16_-_lbDutch_part_2|test_-_P16_-_lbDutch_part_3|test_-_P16_-_lbDutch_part_4|test_-_P16_-_mb_part_1|test_-_P16_-_mb_part_2|test_-_P16_-_mb_part_3|test_-_P16_-_mb_part_4|test_-_P16_-_mbDutch_part_1|test_-_P16_-_mbDutch_part_2|test_-_P16_-_mbDutch_part_3|test_-_P16_-_mbDutch_part_4
weissbart_tf64,etard_tf64,eegnet,0,pooled10_target_calibration,P10,0.08548281576210448,0.082092474362404,-0.003390341399700486,611.875,487.828125,124.046875,669.953125,train_-_P10_-_clean_part_1|train_-_P10_-_clean_part_2|train_-_P10_-_clean_part_3|train_-_P10_-_clean_part_4,val_-_P10_-_clean_part_1|val_-_P10_-_clean_part_2|val_-_P10_-_clean_part_3|val_-_P10_-_clean_part_4|val_-_P10_-_cleanDutch_part_1|val_-_P10_-_cleanDutch_part_2|val_-_P10_-_cleanDutch_part_3|val_-_P10_-_cleanDutch_part_4,test_-_P10_-_clean_part_1|test_-_P10_-_clean_part_2|test_-_P10_-_clean_part_3|test_-_P10_-_clean_part_4|test_-_P10_-_cleanDutch_part_1|test_-_P10_-_cleanDutch_part_2|test_-_P10_-_cleanDutch_part_3|test_-_P10_-_cleanDutch_part_4|test_-_P10_-_fM_part_1|test_-_P10_-_fM_part_2|test_-_P10_-_fM_part_3|test_-_P10_-_fM_part_4|test_-_P10_-_fW_part_1|test_-_P10_-_fW_part_2|test_-_P10_-_fW_part_3|test_-_P10_-_fW_part_4|test_-_P10_-_hb_part_1|test_-_P10_-_hb_part_2|test_-_P10_-_hb_part_3|test_-_P10_-_hb_part_4|test_-_P10_-_hbDutch_part_1|test_-_P10_-_hbDutch_part_2|test_-_P10_-_hbDutch_part_3|test_-_P10_-_hbDutch_part_4|test_-_P10_-_lb_part_1|test_-_P10_-_lb_part_2|test_-_P10_-_lb_part_3|test_-_P10_-_lb_part_4|test_-_P10_-_lbDutch_part_1|test_-_P10_-_lbDutch_part_2|test_-_P10_-_lbDutch_part_3|test_-_P10_-_lbDutch_part_4|test_-_P10_-_mb_part_1|test_-_P10_-_mb_part_2|test_-_P10_-_mb_part_3|test_-_P10_-_mb_part_4|test_-_P10_-_mbDutch_part_1|test_-_P10_-_mbDutch_part_2|test_-_P10_-_mbDutch_part_3|test_-_P10_-_mbDutch_part_4
weissbart_tf64,etard_tf64,eegnet,0,pooled10_target_calibration,P03,0.06612075218039441,0.07288826802542933,0.006767515845034919,620.15625,487.828125,132.328125,409.671875,train_-_P03_-_clean_part_1|train_-_P03_-_clean_part_2|train_-_P03_-_clean_part_3|train_-_P03_-_clean_part_4,val_-_P03_-_clean_part_1|val_-_P03_-_clean_part_2|val_-_P03_-_clean_part_3|val_-_P03_-_clean_part_4|val_-_P03_-_fM_part_1|val_-_P03_-_fM_part_2|val_-_P03_-_fM_part_3|val_-_P03_-_fM_part_4|val_-_P03_-_fW_part_1,test_-_P03_-_clean_part_1|test_-_P03_-_clean_part_2|test_-_P03_-_clean_part_3|test_-_P03_-_clean_part_4|test_-_P03_-_fM_part_1|test_-_P03_-_fM_part_2|test_-_P03_-_fM_part_3|test_-_P03_-_fM_part_4|test_-_P03_-_fW_part_1|test_-_P03_-_fW_part_2|test_-_P03_-_fW_part_3|test_-_P03_-_fW_part_4|test_-_P03_-_hb_part_1|test_-_P03_-_hb_part_2|test_-_P03_-_hb_part_3|test_-_P03_-_hb_part_4|test_-_P03_-_lb_part_1|test_-_P03_-_lb_part_2|test_-_P03_-_lb_part_3|test_-_P03_-_lb_part_4|test_-_P03_-_mb_part_1|test_-_P03_-_mb_part_2|test_-_P03_-_mb_part_3|test_-_P03_-_mb_part_4
etard_tf64,weissbart_tf64,eegnet,0,pooled10_target_calibration,P08,0.10585845965441815,0.12800032882406204,0.02214186916964389,620.609375,488.984375,131.625,238.453125,train_-_P08_-_AUNP01|train_-_P08_-_AUNP02|train_-_P08_-_AUNP03|train_-_P08_-_AUNP04,val_-_P08_-_AUNP01|val_-_P08_-_AUNP02|val_-_P08_-_AUNP03|val_-_P08_-_AUNP04|val_-_P08_-_AUNP05|val_-_P08_-_AUNP06|val_-_P08_-_AUNP07|val_-_P08_-_AUNP08,test_-_P08_-_AUNP01|test_-_P08_-_AUNP02|test_-_P08_-_AUNP03|test_-_P08_-_AUNP04|test_-_P08_-_AUNP05|test_-_P08_-_AUNP06|test_-_P08_-_AUNP07|test_-_P08_-_AUNP08|test_-_P08_-_BROP01|test_-_P08_-_BROP02|test_-_P08_-_BROP03|test_-_P08_-_FLOP01|test_-_P08_-_FLOP02|test_-_P08_-_FLOP03|test_-_P08_-_FLOP04
etard_tf64,weissbart_tf64,eegnet,0,pooled10_target_calibration,P05,0.011986955014292117,0.08443098379551334,0.07244402878122122,620.609375,488.984375,131.625,238.453125,train_-_P05_-_AUNP01|train_-_P05_-_AUNP02|train_-_P05_-_AUNP03|train_-_P05_-_AUNP04,val_-_P05_-_AUNP01|val_-_P05_-_AUNP02|val_-_P05_-_AUNP03|val_-_P05_-_AUNP04|val_-_P05_-_AUNP05|val_-_P05_-_AUNP06|val_-_P05_-_AUNP07|val_-_P05_-_AUNP08,test_-_P05_-_AUNP01|test_-_P05_-_AUNP02|test_-_P05_-_AUNP03|test_-_P05_-_AUNP04|test_-_P05_-_AUNP05|test_-_P05_-_AUNP06|test_-_P05_-_AUNP07|test_-_P05_-_AUNP08|test_-_P05_-_BROP01|test_-_P05_-_BROP02|test_-_P05_-_BROP03|test_-_P05_-_FLOP01|test_-_P05_-_FLOP02|test_-_P05_-_FLOP03|test_-_P05_-_FLOP04
etard_tf64,weissbart_tf64,eegnet,0,pooled10_target_calibration,P01,0.07975175398446331,0.11231885726571948,0.03256710328125617,620.609375,488.984375,131.625,238.453125,train_-_P01_-_AUNP01|train_-_P01_-_AUNP02|train_-_P01_-_AUNP03|train_-_P01_-_AUNP04,val_-_P01_-_AUNP01|val_-_P01_-_AUNP02|val_-_P01_-_AUNP03|val_-_P01_-_AUNP04|val_-_P01_-_AUNP05|val_-_P01_-_AUNP06|val_-_P01_-_AUNP07|val_-_P01_-_AUNP08,test_-_P01_-_AUNP01|test_-_P01_-_AUNP02|test_-_P01_-_AUNP03|test_-_P01_-_AUNP04|test_-_P01_-_AUNP05|test_-_P01_-_AUNP06|test_-_P01_-_AUNP07|test_-_P01_-_AUNP08|test_-_P01_-_BROP01|test_-_P01_-_BROP02|test_-_P01_-_BROP03|test_-_P01_-_FLOP01|test_-_P01_-_FLOP02|test_-_P01_-_FLOP03|test_-_P01_-_FLOP04
weissbart_tf64,etard_tf64,fcnn,0,pooled10_target_calibration,P17,0.02901308263249631,0.08430253475320204,0.055289452120705726,611.875,487.828125,124.046875,669.953125,train_-_P17_-_clean_part_1|train_-_P17_-_clean_part_2|train_-_P17_-_clean_part_3|train_-_P17_-_clean_part_4,val_-_P17_-_clean_part_1|val_-_P17_-_clean_part_2|val_-_P17_-_clean_part_3|val_-_P17_-_clean_part_4|val_-_P17_-_cleanDutch_part_1|val_-_P17_-_cleanDutch_part_2|val_-_P17_-_cleanDutch_part_3|val_-_P17_-_cleanDutch_part_4,test_-_P17_-_clean_part_1|test_-_P17_-_clean_part_2|test_-_P17_-_clean_part_3|test_-_P17_-_clean_part_4|test_-_P17_-_cleanDutch_part_1|test_-_P17_-_cleanDutch_part_2|test_-_P17_-_cleanDutch_part_3|test_-_P17_-_cleanDutch_part_4|test_-_P17_-_fM_part_1|test_-_P17_-_fM_part_2|test_-_P17_-_fM_part_3|test_-_P17_-_fM_part_4|test_-_P17_-_fW_part_1|test_-_P17_-_fW_part_2|test_-_P17_-_fW_part_3|test_-_P17_-_fW_part_4|test_-_P17_-_hb_part_1|test_-_P17_-_hb_part_2|test_-_P17_-_hb_part_3|test_-_P17_-_hb_part_4|test_-_P17_-_hbDutch_part_1|test_-_P17_-_hbDutch_part_2|test_-_P17_-_hbDutch_part_3|test_-_P17_-_hbDutch_part_4|test_-_P17_-_lb_part_1|test_-_P17_-_lb_part_2|test_-_P17_-_lb_part_3|test_-_P17_-_lb_part_4|test_-_P17_-_lbDutch_part_1|test_-_P17_-_lbDutch_part_2|test_-_P17_-_lbDutch_part_3|test_-_P17_-_lbDutch_part_4|test_-_P17_-_mb_part_1|test_-_P17_-_mb_part_2|test_-_P17_-_mb_part_3|test_-_P17_-_mb_part_4|test_-_P17_-_mbDutch_part_1|test_-_P17_-_mbDutch_part_2|test_-_P17_-_mbDutch_part_3|test_-_P17_-_mbDutch_part_4
weissbart_tf64,etard_tf64,fcnn,0,pooled10_target_calibration,P16,0.05401805661410479,0.05487451284459235,0.0008564562304875581,611.875,487.828125,124.046875,669.953125,train_-_P16_-_clean_part_1|train_-_P16_-_clean_part_2|train_-_P16_-_clean_part_3|train_-_P16_-_clean_part_4,val_-_P16_-_clean_part_1|val_-_P16_-_clean_part_2|val_-_P16_-_clean_part_3|val_-_P16_-_clean_part_4|val_-_P16_-_cleanDutch_part_1|val_-_P16_-_cleanDutch_part_2|val_-_P16_-_cleanDutch_part_3|val_-_P16_-_cleanDutch_part_4,test_-_P16_-_clean_part_1|test_-_P16_-_clean_part_2|test_-_P16_-_clean_part_3|test_-_P16_-_clean_part_4|test_-_P16_-_cleanDutch_part_1|test_-_P16_-_cleanDutch_part_2|test_-_P16_-_cleanDutch_part_3|test_-_P16_-_cleanDutch_part_4|test_-_P16_-_fM_part_1|test_-_P16_-_fM_part_2|test_-_P16_-_fM_part_3|test_-_P16_-_fM_part_4|test_-_P16_-_fW_part_1|test_-_P16_-_fW_part_2|test_-_P16_-_fW_part_3|test_-_P16_-_fW_part_4|test_-_P16_-_hb_part_1|test_-_P16_-_hb_part_2|test_-_P16_-_hb_part_3|test_-_P16_-_hb_part_4|test_-_P16_-_hbDutch_part_1|test_-_P16_-_hbDutch_part_2|test_-_P16_-_hbDutch_part_3|test_-_P16_-_hbDutch_part_4|test_-_P16_-_lb_part_1|test_-_P16_-_lb_part_2|test_-_P16_-_lb_part_3|test_-_P16_-_lb_part_4|test_-_P16_-_lbDutch_part_1|test_-_P16_-_lbDutch_part_2|test_-_P16_-_lbDutch_part_3|test_-_P16_-_lbDutch_part_4|test_-_P16_-_mb_part_1|test_-_P16_-_mb_part_2|test_-_P16_-_mb_part_3|test_-_P16_-_mb_part_4|test_-_P16_-_mbDutch_part_1|test_-_P16_-_mbDutch_part_2|test_-_P16_-_mbDutch_part_3|test_-_P16_-_mbDutch_part_4
weissbart_tf64,etard_tf64,fcnn,0,pooled10_target_calibration,P10,0.08001494385866062,0.08652930938348291,0.006514365524822291,611.875,487.828125,124.046875,669.953125,train_-_P10_-_clean_part_1|train_-_P10_-_clean_part_2|train_-_P10_-_clean_part_3|train_-_P10_-_clean_part_4,val_-_P10_-_clean_part_1|val_-_P10_-_clean_part_2|val_-_P10_-_clean_part_3|val_-_P10_-_clean_part_4|val_-_P10_-_cleanDutch_part_1|val_-_P10_-_cleanDutch_part_2|val_-_P10_-_cleanDutch_part_3|val_-_P10_-_cleanDutch_part_4,test_-_P10_-_clean_part_1|test_-_P10_-_clean_part_2|test_-_P10_-_clean_part_3|test_-_P10_-_clean_part_4|test_-_P10_-_cleanDutch_part_1|test_-_P10_-_cleanDutch_part_2|test_-_P10_-_cleanDutch_part_3|test_-_P10_-_cleanDutch_part_4|test_-_P10_-_fM_part_1|test_-_P10_-_fM_part_2|test_-_P10_-_fM_part_3|test_-_P10_-_fM_part_4|test_-_P10_-_fW_part_1|test_-_P10_-_fW_part_2|test_-_P10_-_fW_part_3|test_-_P10_-_fW_part_4|test_-_P10_-_hb_part_1|test_-_P10_-_hb_part_2|test_-_P10_-_hb_part_3|test_-_P10_-_hb_part_4|test_-_P10_-_hbDutch_part_1|test_-_P10_-_hbDutch_part_2|test_-_P10_-_hbDutch_part_3|test_-_P10_-_hbDutch_part_4|test_-_P10_-_lb_part_1|test_-_P10_-_lb_part_2|test_-_P10_-_lb_part_3|test_-_P10_-_lb_part_4|test_-_P10_-_lbDutch_part_1|test_-_P10_-_lbDutch_part_2|test_-_P10_-_lbDutch_part_3|test_-_P10_-_lbDutch_part_4|test_-_P10_-_mb_part_1|test_-_P10_-_mb_part_2|test_-_P10_-_mb_part_3|test_-_P10_-_mb_part_4|test_-_P10_-_mbDutch_part_1|test_-_P10_-_mbDutch_part_2|test_-_P10_-_mbDutch_part_3|test_-_P10_-_mbDutch_part_4
