source_dataset,target_dataset,model,task,protocol,seed,stage,subject_id,metric_name,metric_value,num_recordings,checkpoint_id,artifact_scope
weissbart_tf64,etard_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P03,mean_recording_pearson_r,0.06612075218039441,24,eegnet_epoch_4,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
weissbart_tf64,etard_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P10,mean_recording_pearson_r,0.08548281576210448,40,eegnet_epoch_4,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
weissbart_tf64,etard_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P16,mean_recording_pearson_r,0.07426801150849179,40,eegnet_epoch_4,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
weissbart_tf64,etard_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P17,mean_recording_pearson_r,0.053457501127396244,40,eegnet_epoch_4,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
etard_tf64,weissbart_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P01,mean_recording_pearson_r,0.07975175398446331,15,eegnet_epoch_4,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
etard_tf64,weissbart_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P05,mean_recording_pearson_r,0.011986955014292117,15,eegnet_epoch_4,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
etard_tf64,weissbart_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P08,mean_recording_pearson_r,0.10585845965441815,15,eegnet_epoch_4,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
weissbart_tf64,etard_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P03,mean_recording_pearson_r,0.07288826802542933,24,eegnet_pooled10_epoch_38,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
weissbart_tf64,etard_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P10,mean_recording_pearson_r,0.082092474362404,40,eegnet_pooled10_epoch_38,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
weissbart_tf64,etard_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P16,mean_recording_pearson_r,0.095847603024731,40,eegnet_pooled10_epoch_38,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
weissbart_tf64,etard_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P17,mean_recording_pearson_r,0.09802822923105892,40,eegnet_pooled10_epoch_38,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
etard_tf64,weissbart_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P01,mean_recording_pearson_r,0.11231885726571948,15,eegnet_pooled10_epoch_20,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
etard_tf64,weissbart_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P05,mean_recording_pearson_r,0.08443098379551334,15,eegnet_pooled10_epoch_20,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
etard_tf64,weissbart_tf64,eegnet,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P08,mean_recording_pearson_r,0.12800032882406204,15,eegnet_pooled10_epoch_20,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
weissbart_tf64,etard_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P03,mean_recording_pearson_r,0.01975750069305537,24,fcnn_epoch_0,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
weissbart_tf64,etard_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P10,mean_recording_pearson_r,0.08001494385866062,40,fcnn_epoch_0,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
weissbart_tf64,etard_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P16,mean_recording_pearson_r,0.05401805661410479,40,fcnn_epoch_0,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
weissbart_tf64,etard_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P17,mean_recording_pearson_r,0.02901308263249631,40,fcnn_epoch_0,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
weissbart_tf64,etard_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P03,mean_recording_pearson_r,0.038668648791456824,24,fcnn_pooled10_epoch_8,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
weissbart_tf64,etard_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P10,mean_recording_pearson_r,0.08652930938348291,40,fcnn_pooled10_epoch_8,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
weissbart_tf64,etard_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P16,mean_recording_pearson_r,0.05487451284459235,40,fcnn_pooled10_epoch_8,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
weissbart_tf64,etard_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P17,mean_recording_pearson_r,0.08430253475320204,40,fcnn_pooled10_epoch_8,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
weissbart_tf64,etard_tf64,adt,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P03,mean_recording_pearson_r,0.03475421119443648,24,adt_epoch_1,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
