split,subject_id,recording_id,recording_length,excluded_initial_context_samples,first_target_start,window_count,covered_target_samples,last_target_end_exclusive,dropped_tail_samples_after_nonoverlap_windows,eligible_samples_after_initial_context,coverage_ratio_of_recording,coverage_ratio_after_initial_context,context_never_crosses_recording,context_strictly_past
train,P00,train_-_P00_-_AUNP01,8303,128,128,36,8064,8192,111,8175,0.9712152234132241,0.9864220183486239,True,True
train,P00,train_-_P00_-_AUNP02,8145,128,128,35,7840,7968,177,8017,0.9625537139349294,0.9779219159286516,True,True
train,P00,train_-_P00_-_AUNP03,7504,128,128,32,7168,7296,208,7376,0.9552238805970149,0.9718004338394793,True,True
train,P00,train_-_P00_-_AUNP04,7343,128,128,32,7168,7296,47,7215,0.9761677788369876,0.9934857934857935,True,True
train,P00,train_-_P00_-_AUNP05,9920,128,128,43,9632,9760,160,9792,0.9709677419354839,0.9836601307189542,True,True
train,P00,train_-_P00_-_AUNP06,7532,128,128,33,7392,7520,12,7404,0.9814126394052045,0.9983792544570502,True,True
train,P00,train_-_P00_-_AUNP07,9454,128,128,41,9184,9312,142,9326,0.9714406600380792,0.9847737508042033,True,True
train,P00,train_-_P00_-_AUNP08,9216,128,128,40,8960,9088,128,9088,0.9722222222222222,0.9859154929577465,True,True
train,P00,train_-_P00_-_BROP01,8518,128,128,37,8288,8416,102,8390,0.9729983564216952,0.9878426698450536,True,True
train,P00,train_-_P00_-_BROP02,9344,128,128,41,9184,9312,32,9216,0.9828767123287672,0.9965277777777778,True,True
train,P00,train_-_P00_-_BROP03,8386,128,128,36,8064,8192,194,8258,0.9616026711185309,0.9765076289658513,True,True
train,P00,train_-_P00_-_FLOP01,6612,128,128,28,6272,6400,212,6484,0.9485783424077435,0.9673041332510796,True,True
train,P00,train_-_P00_-_FLOP02,5980,128,128,26,5824,5952,28,5852,0.9739130434782609,0.9952153110047847,True,True
train,P00,train_-_P00_-_FLOP03,5621,128,128,24,5376,5504,117,5493,0.9564134495641345,0.9787001638448936,True,True
train,P00,train_-_P00_-_FLOP04,10085,128,128,44,9856,9984,101,9957,0.9772930094199306,0.9898563824445114,True,True
val,P00,val_-_P00_-_AUNP01,1037,128,128,4,896,1024,13,909,0.8640308582449373,0.9856985698569857,True,True
val,P00,val_-_P00_-_AUNP02,1018,128,128,3,672,800,218,890,0.6601178781925344,0.755056179775281,True,True
val,P00,val_-_P00_-_AUNP03,938,128,128,3,672,800,138,810,0.7164179104477612,0.8296296296296296,True,True
val,P00,val_-_P00_-_AUNP04,917,128,128,3,672,800,117,789,0.732824427480916,0.8517110266159695,True,True
val,P00,val_-_P00_-_AUNP05,1240,128,128,4,896,1024,216,1112,0.7225806451612903,0.8057553956834532,True,True
val,P00,val_-_P00_-_AUNP06,941,128,128,3,672,800,141,813,0.71413390010627,0.8265682656826568,True,True
val,P00,val_-_P00_-_AUNP07,1181,128,128,4,896,1024,157,1053,0.7586790855207451,0.8509021842355176,True,True
val,P00,val_-_P00_-_AUNP08,1152,128,128,4,896,1024,128,1024,0.7777777777777778,0.875,True,True
val,P00,val_-_P00_-_BROP01,1064,128,128,4,896,1024,40,936,0.8421052631578947,0.9572649572649573,True,True
val,P00,val_-_P00_-_BROP02,1168,128,128,4,896,1024,144,1040,0.7671232876712328,0.8615384615384616,True,True
val,P00,val_-_P00_-_BROP03,1048,128,128,4,896,1024,24,920,0.8549618320610687,0.9739130434782609,True,True
