split,subject_id,recording_id,recording_length,excluded_initial_context_samples,first_target_start,window_count,covered_target_samples,last_target_end_exclusive,dropped_tail_samples_after_nonoverlap_windows,eligible_samples_after_initial_context,coverage_ratio_of_recording,coverage_ratio_after_initial_context,context_never_crosses_recording,context_strictly_past
test,P00,test_-_P00_-_AUNP01,1039,128,128,4,896,1024,15,911,0.8623676612127045,0.9835345773874863,True,True
test,P00,test_-_P00_-_AUNP02,1019,128,128,3,672,800,219,891,0.6594700686947988,0.7542087542087542,True,True
test,P00,test_-_P00_-_AUNP03,939,128,128,3,672,800,139,811,0.7156549520766773,0.8286066584463625,True,True
test,P00,test_-_P00_-_AUNP04,919,128,128,3,672,800,119,791,0.7312295973884657,0.8495575221238938,True,True
test,P00,test_-_P00_-_AUNP05,1240,128,128,4,896,1024,216,1112,0.7225806451612903,0.8057553956834532,True,True
test,P00,test_-_P00_-_AUNP06,943,128,128,3,672,800,143,815,0.7126193001060446,0.8245398773006135,True,True
test,P00,test_-_P00_-_AUNP07,1183,128,128,4,896,1024,159,1055,0.757396449704142,0.8492890995260663,True,True
test,P00,test_-_P00_-_AUNP08,1153,128,128,4,896,1024,129,1025,0.777103209019948,0.8741463414634146,True,True
test,P00,test_-_P00_-_BROP01,1066,128,128,4,896,1024,42,938,0.8405253283302064,0.9552238805970149,True,True
test,P00,test_-_P00_-_BROP02,1169,128,128,4,896,1024,145,1041,0.7664670658682635,0.8607108549471661,True,True
test,P00,test_-_P00_-_BROP03,1049,128,128,4,896,1024,25,921,0.8541468064823642,0.9728555917480999,True,True
test,P00,test_-_P00_-_FLOP01,828,128,128,3,672,800,28,700,0.8115942028985508,0.96,True,True
test,P00,test_-_P00_-_FLOP02,748,128,128,2,448,576,172,620,0.5989304812834224,0.7225806451612903,True,True
test,P00,test_-_P00_-_FLOP03,704,128,128,2,448,576,128,576,0.6363636363636364,0.7777777777777778,True,True
test,P00,test_-_P00_-_FLOP04,1262,128,128,5,1120,1248,14,1134,0.8874801901743264,0.9876543209876543,True,True
