split,subject_id,recording_id,sample_rate,target_start,target_end_exclusive,eeg_start,eeg_end_exclusive,envelope_context_start,envelope_context_end_exclusive,envelope_context_end_inclusive,forward_effective_context_start,forward_effective_context_end_exclusive,forward_effective_context_end_inclusive,context_end_inclusive_lt_target_start,exclusive_context_end_eq_target_start,effective_context_end_le_target_start,target_length,forward_input_context_samples,forecaster_expected_context_samples,effective_context_samples_after_trim
test,P00,test_-_P00_-_AUNP01,64,128,352,128,352,0,128,127,32,128,127,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP01,64,352,576,352,576,224,352,351,256,352,351,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP01,64,576,800,576,800,448,576,575,480,576,575,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP01,64,800,1024,800,1024,672,800,799,704,800,799,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP02,64,128,352,128,352,0,128,127,32,128,127,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP02,64,352,576,352,576,224,352,351,256,352,351,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP02,64,576,800,576,800,448,576,575,480,576,575,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP03,64,128,352,128,352,0,128,127,32,128,127,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP03,64,352,576,352,576,224,352,351,256,352,351,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP03,64,576,800,576,800,448,576,575,480,576,575,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP04,64,128,352,128,352,0,128,127,32,128,127,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP04,64,352,576,352,576,224,352,351,256,352,351,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP04,64,576,800,576,800,448,576,575,480,576,575,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP05,64,128,352,128,352,0,128,127,32,128,127,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP05,64,352,576,352,576,224,352,351,256,352,351,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP05,64,576,800,576,800,448,576,575,480,576,575,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP05,64,800,1024,800,1024,672,800,799,704,800,799,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP06,64,128,352,128,352,0,128,127,32,128,127,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP06,64,352,576,352,576,224,352,351,256,352,351,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP06,64,576,800,576,800,448,576,575,480,576,575,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP07,64,128,352,128,352,0,128,127,32,128,127,True,True,True,224,128,96,96
test,P00,test_-_P00_-_AUNP07,64,352,576,352,576,224,352,351,256,352,351,True,True,True,224,128,96,96
