dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_clean_part_1,64,pearson_r,-0.004802855775829131,940,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_clean_part_2,64,pearson_r,0.11653206724890743,976,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_clean_part_3,64,pearson_r,0.08072667423804723,857,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_clean_part_4,64,pearson_r,-0.010651433806079155,938,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_fM_part_1,64,pearson_r,0.08561324329534217,852,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_fM_part_2,64,pearson_r,0.0017267592520643915,813,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_fM_part_3,64,pearson_r,-0.14375315329446384,869,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_fM_part_4,64,pearson_r,0.0699416989861631,953,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_fW_part_1,64,pearson_r,0.01782162300045471,843,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_fW_part_2,64,pearson_r,-0.040352680778030156,870,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_fW_part_3,64,pearson_r,0.026388592181415652,974,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_fW_part_4,64,pearson_r,0.003269512408600434,1047,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_hb_part_1,64,pearson_r,0.10266384527871461,1137,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_hb_part_2,64,pearson_r,-0.035023942709524455,1074,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_hb_part_3,64,pearson_r,0.051392498360941806,1157,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_hb_part_4,64,pearson_r,0.07082623225702935,1080,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_lb_part_1,64,pearson_r,0.0741749574181525,1396,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_lb_part_2,64,pearson_r,0.1410741936878523,1433,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_lb_part_3,64,pearson_r,0.08021389837503425,1365,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_lb_part_4,64,pearson_r,0.018240651345387084,1501,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_mb_part_1,64,pearson_r,-0.03845209044458025,945,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_mb_part_2,64,pearson_r,0.011379155698877003,994,fcnn_epoch_3,focused_protocol_diagnostic
etard_tf64_p00,fcnn,reconstruction,gate0_gate2_etard_p00_focused_rerun,0,P00,test_-_P00_-_mb_part_3,64,pearson_r,0.09115431548267078,995,fcnn_epoch_3,focused_protocol_diagnostic
