dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_AUNP01,64,pearson_r,0.23145809305430665,990,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_AUNP02,64,pearson_r,0.2404515468477175,970,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_AUNP03,64,pearson_r,0.04557548510232044,890,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_AUNP04,64,pearson_r,0.1066635069100176,870,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_AUNP05,64,pearson_r,0.10050475327024724,1191,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_AUNP06,64,pearson_r,0.19580267962873185,894,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_AUNP07,64,pearson_r,-0.12886138976599937,1134,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_AUNP08,64,pearson_r,-0.035162931368968565,1104,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_BROP01,64,pearson_r,-0.012153885686242588,1017,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_BROP02,64,pearson_r,0.01950318063150949,1120,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_BROP03,64,pearson_r,0.022103810876928642,1000,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_FLOP01,64,pearson_r,0.02718496597879702,779,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_FLOP02,64,pearson_r,0.10977166322002449,699,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_FLOP03,64,pearson_r,0.07037249146082515,655,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P01,test_-_P01_-_FLOP04,64,pearson_r,0.016842372400471078,1213,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P05,test_-_P05_-_AUNP01,64,pearson_r,0.08106459432329444,990,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
weissbart_tf64,eegnet,reconstruction,gate0_gate2_fixed_split_pooled10_modelset_v1::zero_shot,0,P05,test_-_P05_-_AUNP02,64,pearson_r,0.23474417248151103,970,eegnet_epoch_5,fixed_split_zero_shot_plus_pooled10_finetune_modelset_v1::zero_shot
