dataset,model,seed,condition,n_subjects,n_recordings,mean_pearson,median_pearson,std_pearson,negative_recording_count
etard_tf64,adt,0,clean,18,72,0.12177087049540096,0.11684060679837288,0.13071910784308713,13
etard_tf64,adt,0,fM,18,72,0.14416355206694342,0.1305217043512777,0.12334721626184521,7
etard_tf64,adt,0,fW,18,72,0.10505875670385838,0.11457853954141015,0.11658951163182715,14
etard_tf64,adt,0,hb,18,72,0.14487819657686282,0.1340351957178359,0.10973200004995871,8
etard_tf64,adt,0,lb,18,72,0.11496222707210135,0.10818077813808635,0.08718700083724625,4
etard_tf64,adt,0,mb,18,72,0.11674431155563189,0.11328436765208094,0.10810449487447704,8
etard_tf64,adt,42,clean,18,72,0.10699093952027242,0.11268698644271541,0.12472410199792106,10
etard_tf64,adt,42,fM,18,72,0.1521941260240897,0.15356451462591553,0.11992245982220465,7
etard_tf64,adt,42,fW,18,72,0.09792083456248896,0.10191148118890068,0.10066996252777392,14
etard_tf64,adt,42,hb,18,72,0.15920459650794028,0.1669246715266044,0.09874500329191348,3
etard_tf64,adt,42,lb,18,72,0.10806782042962035,0.10005510207484758,0.0734892869386237,4
etard_tf64,adt,42,mb,18,72,0.12077653530846415,0.12425908685805573,0.10482114024604772,9
etard_tf64,adt,2026,clean,18,72,0.10003275659100402,0.08077420972138095,0.11847022679206015,11
etard_tf64,adt,2026,fM,18,72,0.15604975231489332,0.15345141167357912,0.11486988381859362,6
etard_tf64,adt,2026,fW,18,72,0.09244227030944846,0.08850163876483261,0.10759341620290586,13
etard_tf64,adt,2026,hb,18,72,0.14494850704014398,0.14576664673804376,0.10193804505225446,6
etard_tf64,adt,2026,lb,18,72,0.11855361827423956,0.1148720387988248,0.0850535656895973,7
etard_tf64,adt,2026,mb,18,72,0.11099752206386192,0.10882357039809634,0.11346196764555425,13
etard_tf64,cca,0,clean,18,72,0.11255020935280048,0.09991983040879988,0.10774578141046666,11
etard_tf64,cca,0,fM,18,72,0.11691467816039498,0.12160704009826234,0.12562605396968238,13
etard_tf64,cca,0,fW,18,72,0.1072276767586689,0.11266426001743671,0.09602677351829768,11
etard_tf64,cca,0,hb,18,72,0.0894751019442851,0.0845405112576868,0.0990574569014978,12
etard_tf64,cca,0,lb,18,72,0.07840331874800181,0.08911199853414369,0.07340816377159727,11
etard_tf64,cca,0,mb,18,72,0.05801846754261893,0.056649936723610246,0.10134084559591079,23
etard_tf64,cca,42,clean,18,72,0.11255020935280048,0.09991983040879988,0.10774578141046666,11
etard_tf64,cca,42,fM,18,72,0.11691467816039498,0.12160704009826234,0.12562605396968238,13
etard_tf64,cca,42,fW,18,72,0.1072276767586689,0.11266426001743671,0.09602677351829768,11
etard_tf64,cca,42,hb,18,72,0.0894751019442851,0.0845405112576868,0.0990574569014978,12
etard_tf64,cca,42,lb,18,72,0.07840331874800181,0.08911199853414369,0.07340816377159727,11
etard_tf64,cca,42,mb,18,72,0.05801846754261893,0.056649936723610246,0.10134084559591079,23
etard_tf64,cca,2026,clean,18,72,0.11255033516166879,0.09991955993751989,0.10774589041090368,11
etard_tf64,cca,2026,fM,18,72,0.11691470047819832,0.12160704009826234,0.12562601237725277,13
etard_tf64,cca,2026,fW,18,72,0.1072277776956399,0.1126645419508919,0.0960268562496606,11
etard_tf64,cca,2026,hb,18,72,0.08947508124278032,0.08454012093952774,0.09905747361538622,12
etard_tf64,cca,2026,lb,18,72,0.07840331323916092,0.08911137592299126,0.07340825390187612,11
etard_tf64,cca,2026,mb,18,72,0.05801849927549522,0.056649936723610246,0.10134079524915471,23
etard_tf64,fcnn,0,clean,18,72,0.10575370333423383,0.10611121323727957,0.10186321167942972,10
etard_tf64,fcnn,0,fM,18,72,0.10528518151092318,0.10427604950396571,0.09242266963860517,10
etard_tf64,fcnn,0,fW,18,72,0.07586645662791364,0.0840676450677667,0.07934140702306151,12
etard_tf64,fcnn,0,hb,18,72,0.06854410224023738,0.06719069035348259,0.09289850334836923,13
etard_tf64,fcnn,0,lb,18,72,0.06632208508840536,0.06955027705120256,0.08043747218923167,16
etard_tf64,fcnn,0,mb,18,72,0.04331143591482965,0.04650116993871828,0.07435251668552843,23
etard_tf64,fcnn,42,clean,18,72,0.11547238607070451,0.12323159556594936,0.09380037746065568,10
etard_tf64,fcnn,42,fM,18,72,0.10256547728894728,0.09839505222086484,0.10264524203224683,9
etard_tf64,fcnn,42,fW,18,72,0.07198690551390835,0.07695684951017528,0.08396562542168161,17
etard_tf64,fcnn,42,hb,18,72,0.05895807219336053,0.057929547660947975,0.08558344441844179,19
etard_tf64,fcnn,42,lb,18,72,0.060969639910539275,0.056581939465022005,0.08491922980336204,17
etard_tf64,fcnn,42,mb,18,72,0.04138142478738888,0.04477169777701752,0.08495611513822306,27
etard_tf64,fcnn,2026,clean,18,72,0.10165475491501225,0.1046224757665987,0.10612970400297271,12
etard_tf64,fcnn,2026,fM,18,72,0.10581187987221267,0.11331166631327866,0.09795047446039662,11
etard_tf64,fcnn,2026,fW,18,72,0.07870524880076582,0.08032219509864469,0.09766706874756621,14
etard_tf64,fcnn,2026,hb,18,72,0.05851353486933345,0.05610737211440166,0.08908027005216788,16
etard_tf64,fcnn,2026,lb,18,72,0.06038813021387308,0.05030702719468513,0.07386708307351085,15
etard_tf64,fcnn,2026,mb,18,72,0.048756561289988495,0.05112492464089471,0.08025585637395861,20
etard_tf64,ridge,0,clean,18,72,0.17123008567103806,0.17668817745439963,0.10673466432220492,4
etard_tf64,ridge,0,fM,18,72,0.16001386321213035,0.15541245858165598,0.1147669226867476,6
etard_tf64,ridge,0,fW,18,72,0.13659348126282497,0.14303740976358964,0.08002893558520353,3
etard_tf64,ridge,0,hb,18,72,0.12075348543616217,0.11464651157341962,0.08351945187092519,4
etard_tf64,ridge,0,lb,18,72,0.1170435860832923,0.11469950180987257,0.0691141954696023,2
etard_tf64,ridge,0,mb,18,72,0.08324676476686171,0.08032181028894805,0.08403424435841131,12
etard_tf64,ridge,42,clean,18,72,0.17123008567103806,0.17668817745439963,0.10673466432220492,4
etard_tf64,ridge,42,fM,18,72,0.16001386321213035,0.15541245858165598,0.1147669226867476,6
etard_tf64,ridge,42,fW,18,72,0.13659348126282497,0.14303740976358964,0.08002893558520353,3
etard_tf64,ridge,42,hb,18,72,0.12075348543616217,0.11464651157341962,0.08351945187092519,4
etard_tf64,ridge,42,lb,18,72,0.1170435860832923,0.11469950180987257,0.0691141954696023,2
etard_tf64,ridge,42,mb,18,72,0.08324676476686171,0.08032181028894805,0.08403424435841131,12
etard_tf64,ridge,2026,clean,18,72,0.1712088452515427,0.1766757130487135,0.10672590172329663,4
etard_tf64,ridge,2026,fM,18,72,0.16003048906307182,0.1557713633986194,0.11476149383971891,6
etard_tf64,ridge,2026,fW,18,72,0.13660641816958577,0.14325507818558425,0.08002805296228409,3
etard_tf64,ridge,2026,hb,18,72,0.12074455875217709,0.11466129674299191,0.08351058955630301,4
etard_tf64,ridge,2026,lb,18,72,0.117042260622697,0.11453908863332704,0.06910848895168752,2
etard_tf64,ridge,2026,mb,18,72,0.08324435503221042,0.08028406509374664,0.08402898361511317,12
