dataset,model,condition,n_subjects,n_recordings,mean_pearson,median_pearson,std_pearson,negative_recording_count
etard_tf64,adt,clean,18,72,0.12177087049540096,0.11684060679837288,0.13071910784308713,13
etard_tf64,adt,fM,18,72,0.14416355206694342,0.1305217043512777,0.12334721626184521,7
etard_tf64,adt,fW,18,72,0.10505875670385838,0.11457853954141015,0.11658951163182715,14
etard_tf64,adt,hb,18,72,0.14487819657686282,0.1340351957178359,0.10973200004995871,8
etard_tf64,adt,lb,18,72,0.11496222707210135,0.10818077813808635,0.08718700083724625,4
etard_tf64,adt,mb,18,72,0.11674431155563189,0.11328436765208094,0.10810449487447704,8
etard_tf64,cca,clean,18,72,0.11255020935280048,0.09991983040879988,0.10774578141046666,11
etard_tf64,cca,fM,18,72,0.11691467816039498,0.12160704009826234,0.12562605396968238,13
etard_tf64,cca,fW,18,72,0.1072276767586689,0.11266426001743671,0.09602677351829768,11
etard_tf64,cca,hb,18,72,0.0894751019442851,0.0845405112576868,0.0990574569014978,12
etard_tf64,cca,lb,18,72,0.07840331874800181,0.08911199853414369,0.07340816377159727,11
etard_tf64,cca,mb,18,72,0.05801846754261893,0.056649936723610246,0.10134084559591079,23
etard_tf64,fcnn,clean,18,72,0.10575370333423383,0.10611121323727957,0.10186321167942972,10
etard_tf64,fcnn,fM,18,72,0.10528518151092318,0.10427604950396571,0.09242266963860517,10
etard_tf64,fcnn,fW,18,72,0.07586645662791364,0.0840676450677667,0.07934140702306151,12
etard_tf64,fcnn,hb,18,72,0.06854410224023738,0.06719069035348259,0.09289850334836923,13
etard_tf64,fcnn,lb,18,72,0.06632208508840536,0.06955027705120256,0.08043747218923167,16
etard_tf64,fcnn,mb,18,72,0.04331143591482965,0.04650116993871828,0.07435251668552843,23
etard_tf64,ridge,clean,18,72,0.17123008567103806,0.17668817745439963,0.10673466432220492,4
etard_tf64,ridge,fM,18,72,0.16001386321213035,0.15541245858165598,0.1147669226867476,6
etard_tf64,ridge,fW,18,72,0.13659348126282497,0.14303740976358964,0.08002893558520353,3
etard_tf64,ridge,hb,18,72,0.12075348543616217,0.11464651157341962,0.08351945187092519,4
etard_tf64,ridge,lb,18,72,0.1170435860832923,0.11469950180987257,0.0691141954696023,2
etard_tf64,ridge,mb,18,72,0.08324676476686171,0.08032181028894805,0.08403424435841131,12
