dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_cleanDutch_part_1,64,pearson_r,-0.06794300625879031,941,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_cleanDutch_part_2,64,pearson_r,-0.023255884033121378,963,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_cleanDutch_part_3,64,pearson_r,-0.004707305503978581,974,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_cleanDutch_part_4,64,pearson_r,0.05676206155632178,970,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_clean_part_1,64,pearson_r,-0.13506274213285152,940,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_clean_part_2,64,pearson_r,0.1361251112842624,976,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_clean_part_3,64,pearson_r,0.09985449530233992,857,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_clean_part_4,64,pearson_r,0.07981989954134656,938,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_fM_part_1,64,pearson_r,0.1233444342784683,852,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_fM_part_2,64,pearson_r,0.16947129208158754,813,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_fM_part_3,64,pearson_r,0.15754136956539708,869,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_fM_part_4,64,pearson_r,0.2986592466280946,953,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_fW_part_1,64,pearson_r,-0.1267392026853443,843,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_fW_part_2,64,pearson_r,0.178422233561533,870,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_fW_part_3,64,pearson_r,0.028065605188769004,974,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_fW_part_4,64,pearson_r,-0.041743329362401854,1047,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_hbDutch_part_1,64,pearson_r,-0.0158772004968325,984,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_hbDutch_part_2,64,pearson_r,0.21214442125565078,998,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_hbDutch_part_3,64,pearson_r,-0.10541249918706158,1017,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_hbDutch_part_4,64,pearson_r,0.02572502606864229,1001,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_hb_part_1,64,pearson_r,0.29803106434050947,1137,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_hb_part_2,64,pearson_r,0.22804424628431916,1074,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_hb_part_3,64,pearson_r,0.09462546148449816,1157,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_hb_part_4,64,pearson_r,0.2748897831087535,1080,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_lbDutch_part_1,64,pearson_r,-0.13248891974001967,1001,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_lbDutch_part_2,64,pearson_r,0.13454454154784912,1026,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_lbDutch_part_3,64,pearson_r,-0.06782752353664201,991,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_lbDutch_part_4,64,pearson_r,-0.0380983809165958,1011,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_lb_part_1,64,pearson_r,0.05653168505056019,1396,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_lb_part_2,64,pearson_r,0.0415697771611589,1433,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_lb_part_3,64,pearson_r,-0.012519794679665328,1365,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_lb_part_4,64,pearson_r,0.036455454805220756,1501,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_mbDutch_part_1,64,pearson_r,0.057635658630137684,1021,cca_nc_4,full_subject_single_seed_validation
etard_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,0,P07,test_-_P07_-_mbDutch_part_2,64,pearson_r,-0.07165084692354093,981,cca_nc_4,full_subject_single_seed_validation
