dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_cleanDutch_part_1,64,pearson_r,0.2013463500277462,960,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_cleanDutch_part_2,64,pearson_r,0.07038261528559636,960,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_cleanDutch_part_3,64,pearson_r,0.18799450698656578,960,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_cleanDutch_part_4,64,pearson_r,-0.010078023167464372,960,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_clean_part_1,64,pearson_r,0.16057686003565455,960,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_clean_part_2,64,pearson_r,0.031113023371820085,1024,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_clean_part_3,64,pearson_r,0.05985552243027273,896,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_clean_part_4,64,pearson_r,0.22933946868352093,960,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_fM_part_1,64,pearson_r,0.14781401400141708,896,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_fM_part_2,64,pearson_r,0.11860995199213456,832,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_fM_part_3,64,pearson_r,0.09819239738147509,896,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_fM_part_4,64,pearson_r,0.26377490520685576,960,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_fW_part_1,64,pearson_r,0.11544342943199644,832,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_fW_part_2,64,pearson_r,0.025142389317854584,896,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_fW_part_3,64,pearson_r,-0.07506497564309024,960,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_fW_part_4,64,pearson_r,0.20922168811739095,1088,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_hbDutch_part_1,64,pearson_r,0.06019428616674823,1024,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_hbDutch_part_2,64,pearson_r,-0.09253733273975276,1024,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_hbDutch_part_3,64,pearson_r,0.057221137019969476,1024,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_hbDutch_part_4,64,pearson_r,0.052233861338262216,1024,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_hb_part_1,64,pearson_r,0.05377530564940464,1152,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_hb_part_2,64,pearson_r,0.1121967646116111,1088,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_hb_part_3,64,pearson_r,0.14534657815230304,1152,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_hb_part_4,64,pearson_r,0.13842546787927415,1088,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_lbDutch_part_1,64,pearson_r,0.12144873575619736,1024,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_lbDutch_part_2,64,pearson_r,0.1700670799723778,1024,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_lbDutch_part_3,64,pearson_r,0.2231132087095925,1024,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_lbDutch_part_4,64,pearson_r,0.03571451779538563,1024,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_lb_part_1,64,pearson_r,0.23120628778004085,1408,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_lb_part_2,64,pearson_r,0.07612466500075206,1472,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_lb_part_3,64,pearson_r,0.10565735849369765,1408,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_lb_part_4,64,pearson_r,0.1706030701474998,1536,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_mbDutch_part_1,64,pearson_r,0.22961760139278323,1024,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_mbDutch_part_2,64,pearson_r,0.006099101433306336,1024,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_mbDutch_part_3,64,pearson_r,0.08410885800876329,1024,adt_epoch_3,full_subject_single_seed_validation
etard_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,2026,P09,test_-_P09_-_mbDutch_part_4,64,pearson_r,0.012909047679002446,1024,adt_epoch_3,full_subject_single_seed_validation
