dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_cleanDutch_part_1,64,pearson_r,0.025310545418424774,941,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_cleanDutch_part_2,64,pearson_r,0.08846400354726071,963,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_cleanDutch_part_3,64,pearson_r,0.180474788816368,974,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_cleanDutch_part_4,64,pearson_r,0.01426447053441846,970,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_clean_part_1,64,pearson_r,0.15482633665929202,940,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_clean_part_2,64,pearson_r,0.12203573831659982,976,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_clean_part_3,64,pearson_r,0.14538144294148939,857,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_clean_part_4,64,pearson_r,0.3028208110578642,938,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_fM_part_1,64,pearson_r,0.03225565387247111,852,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_fM_part_2,64,pearson_r,0.2690686390499257,813,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_fM_part_3,64,pearson_r,0.18036835925282832,869,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_fM_part_4,64,pearson_r,0.3713678442205231,953,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_fW_part_1,64,pearson_r,0.1008255386921546,843,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_fW_part_2,64,pearson_r,0.16103187090272858,870,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_fW_part_3,64,pearson_r,0.15146686224443276,974,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_fW_part_4,64,pearson_r,0.05728615030930203,1047,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_hbDutch_part_1,64,pearson_r,0.09302914157128353,984,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_hbDutch_part_2,64,pearson_r,0.1525892975690265,998,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_hbDutch_part_3,64,pearson_r,0.0838734675336905,1017,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_hbDutch_part_4,64,pearson_r,0.05373494560605379,1001,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_hb_part_1,64,pearson_r,0.2247923488324612,1137,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_hb_part_2,64,pearson_r,0.17376155993676012,1074,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_hb_part_3,64,pearson_r,-0.0028963577809757606,1157,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_hb_part_4,64,pearson_r,0.044497569120968965,1080,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_lbDutch_part_1,64,pearson_r,-0.06604756149998874,1001,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_lbDutch_part_2,64,pearson_r,0.10831104104939258,1026,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_lbDutch_part_3,64,pearson_r,0.13069250700916882,991,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_lbDutch_part_4,64,pearson_r,0.02903930276986748,1011,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_lb_part_1,64,pearson_r,0.06303581238226734,1396,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_lb_part_2,64,pearson_r,0.057219528007421014,1433,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_lb_part_3,64,pearson_r,0.07401220397777737,1365,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_lb_part_4,64,pearson_r,0.061641259435879885,1501,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_mbDutch_part_1,64,pearson_r,0.030269465192161657,1021,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_mbDutch_part_2,64,pearson_r,0.10375525459771114,981,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_mbDutch_part_3,64,pearson_r,0.18601954608672613,995,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_mbDutch_part_4,64,pearson_r,0.1050778422313657,1000,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_mb_part_1,64,pearson_r,0.09247625502246433,945,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_mb_part_2,64,pearson_r,0.04294984952704079,994,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_mb_part_3,64,pearson_r,0.10948310136769615,995,fcnn_epoch_2,full_subject_single_seed_validation
etard_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P10,test_-_P10_-_mb_part_4,64,pearson_r,-0.0033591046757161275,1034,fcnn_epoch_2,full_subject_single_seed_validation
