dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_AUNP01,64,pearson_r,0.09772821693134737,990,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_AUNP02,64,pearson_r,0.22942282364994496,970,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_AUNP03,64,pearson_r,0.20547060843153397,890,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_AUNP04,64,pearson_r,0.1705559770178326,870,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_AUNP05,64,pearson_r,-0.09142779642805536,1191,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_AUNP06,64,pearson_r,0.3535450090363136,894,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_AUNP07,64,pearson_r,-0.03054106274008321,1134,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_AUNP08,64,pearson_r,0.07630544378969918,1104,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_BROP01,64,pearson_r,0.09644058435184973,1017,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_BROP02,64,pearson_r,0.015220897543975908,1120,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_BROP03,64,pearson_r,0.06982730325934915,1000,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_FLOP01,64,pearson_r,0.002698685814028308,779,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_FLOP02,64,pearson_r,-0.005208649991970282,699,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_FLOP03,64,pearson_r,0.23046096740749533,655,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,test_-_P03_-_FLOP04,64,pearson_r,-0.03515404315603132,1213,cca_nc_4,full_subject_single_seed_validation
