dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_AUNP01,64,pearson_r,0.21885704602749895,1024,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_AUNP02,64,pearson_r,0.031390604576072595,960,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_AUNP03,64,pearson_r,0.22330325307702187,896,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_AUNP04,64,pearson_r,0.147281584167517,896,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_AUNP05,64,pearson_r,0.18182339831670777,1216,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_AUNP06,64,pearson_r,0.03012742622043,896,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_AUNP07,64,pearson_r,0.26579794531289286,1152,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_AUNP08,64,pearson_r,0.0722583972849368,1152,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_BROP01,64,pearson_r,0.24610133884870697,1024,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_BROP02,64,pearson_r,0.0287762289370882,1152,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_BROP03,64,pearson_r,0.17089509262899807,1024,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_FLOP01,64,pearson_r,0.07504233714975467,768,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_FLOP02,64,pearson_r,-0.14260284047283714,704,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_FLOP03,64,pearson_r,0.006589989967211156,704,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,test_-_P06_-_FLOP04,64,pearson_r,0.08406193124102847,1216,adt_epoch_6,full_subject_single_seed_validation
