dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_AUNP01,64,pearson_r,0.17894587126990466,990,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_AUNP02,64,pearson_r,0.08356106489210263,970,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_AUNP03,64,pearson_r,0.09743376434712427,890,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_AUNP04,64,pearson_r,0.20730412983653404,870,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_AUNP05,64,pearson_r,0.125445171653609,1191,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_AUNP06,64,pearson_r,0.22407391086204964,894,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_AUNP07,64,pearson_r,-0.2175912500401119,1134,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_AUNP08,64,pearson_r,0.018749483028759714,1104,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_BROP01,64,pearson_r,-0.029640136651892662,1017,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_BROP02,64,pearson_r,-0.051005641440959724,1120,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_BROP03,64,pearson_r,0.042702982966283706,1000,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_FLOP01,64,pearson_r,0.14429544427817917,779,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_FLOP02,64,pearson_r,0.08084618328530076,699,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_FLOP03,64,pearson_r,0.07241791210169528,655,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_checkpoint_saving_real_closure_v1,0,P01,test_-_P01_-_FLOP04,64,pearson_r,0.21602152741943498,1213,eegnet_epoch_18,subject_independent_loso_checkpoint_saving_real_closure_v1
