dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_AUNP01,64,pearson_r,0.2925777260354089,990,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_AUNP02,64,pearson_r,0.09296837167468257,970,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_AUNP03,64,pearson_r,0.09905763821945933,890,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_AUNP04,64,pearson_r,0.29946858158654505,870,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_AUNP05,64,pearson_r,0.12747985622802846,1191,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_AUNP06,64,pearson_r,0.1594398717904586,894,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_AUNP07,64,pearson_r,0.03327213580457105,1134,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_AUNP08,64,pearson_r,0.07274432332348328,1104,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_BROP01,64,pearson_r,-0.11221496648021265,1017,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_BROP02,64,pearson_r,0.024829975030083783,1120,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_BROP03,64,pearson_r,-0.10112076698828186,1000,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_FLOP01,64,pearson_r,0.08809007638599432,779,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_FLOP02,64,pearson_r,0.1059358321074109,699,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_FLOP03,64,pearson_r,0.23786587090782133,655,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_finetune_5min_closure_v1,0,P01,test_-_P01_-_FLOP04,64,pearson_r,0.27320847707426615,1213,finetune_epoch_25,subject_adaptation_finetune_5min_closure_v1
