dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_AUNP01,64,pearson_r,0.1463159545506687,990,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_AUNP02,64,pearson_r,0.11493998298831956,970,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_AUNP03,64,pearson_r,0.1519404856000234,890,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_AUNP04,64,pearson_r,0.09027519187821784,870,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_AUNP05,64,pearson_r,-0.0026883724517725344,1191,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_AUNP06,64,pearson_r,0.23772456147200388,894,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_AUNP07,64,pearson_r,0.0690954800007479,1134,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_AUNP08,64,pearson_r,0.1846397663050711,1104,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_BROP01,64,pearson_r,0.16990237511751116,1017,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_BROP02,64,pearson_r,-0.010361153619376486,1120,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_BROP03,64,pearson_r,0.17435717325957797,1000,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_FLOP01,64,pearson_r,0.03955046191636504,779,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_FLOP02,64,pearson_r,0.09573824457659758,699,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_FLOP03,64,pearson_r,0.04889101373653739,655,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P00,test_-_P00_-_FLOP04,64,pearson_r,0.06957956998218973,1213,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P01,test_-_P01_-_AUNP01,64,pearson_r,0.12632524393114833,990,ridge_alpha_0.001,subject_independent_loso_pilot
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_pilot_v1,0,P01,test_-_P01_-_AUNP02,64,pearson_r,0.06422725846207476,970,ridge_alpha_0.001,subject_independent_loso_pilot
