dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_resumable_runner_taskA_fullscale_eegnet_p00,0,P00,test_-_P00_-_AUNP01,64,pearson_r,0.08012309000673888,990,eegnet_epoch_24,subject_independent_loso_taskA_fullscale_eegnet_p00
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_resumable_runner_taskA_fullscale_eegnet_p00,0,P00,test_-_P00_-_AUNP02,64,pearson_r,0.1755889477891832,970,eegnet_epoch_24,subject_independent_loso_taskA_fullscale_eegnet_p00
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_resumable_runner_taskA_fullscale_eegnet_p00,0,P00,test_-_P00_-_AUNP03,64,pearson_r,0.19313383836408515,890,eegnet_epoch_24,subject_independent_loso_taskA_fullscale_eegnet_p00
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_resumable_runner_taskA_fullscale_eegnet_p00,0,P00,test_-_P00_-_AUNP04,64,pearson_r,0.1422443866225574,870,eegnet_epoch_24,subject_independent_loso_taskA_fullscale_eegnet_p00
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_resumable_runner_taskA_fullscale_eegnet_p00,0,P00,test_-_P00_-_AUNP05,64,pearson_r,0.0935882863639295,1191,eegnet_epoch_24,subject_independent_loso_taskA_fullscale_eegnet_p00
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_resumable_runner_taskA_fullscale_eegnet_p00,0,P00,test_-_P00_-_AUNP06,64,pearson_r,0.21494691140576574,894,eegnet_epoch_24,subject_independent_loso_taskA_fullscale_eegnet_p00
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_resumable_runner_taskA_fullscale_eegnet_p00,0,P00,test_-_P00_-_AUNP07,64,pearson_r,0.04413312951598693,1134,eegnet_epoch_24,subject_independent_loso_taskA_fullscale_eegnet_p00
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_resumable_runner_taskA_fullscale_eegnet_p00,0,P00,test_-_P00_-_AUNP08,64,pearson_r,0.20717617757701237,1104,eegnet_epoch_24,subject_independent_loso_taskA_fullscale_eegnet_p00
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_resumable_runner_taskA_fullscale_eegnet_p00,0,P00,test_-_P00_-_BROP01,64,pearson_r,0.19550219163329158,1017,eegnet_epoch_24,subject_independent_loso_taskA_fullscale_eegnet_p00
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_resumable_runner_taskA_fullscale_eegnet_p00,0,P00,test_-_P00_-_BROP02,64,pearson_r,-0.07230862099742574,1120,eegnet_epoch_24,subject_independent_loso_taskA_fullscale_eegnet_p00
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_resumable_runner_taskA_fullscale_eegnet_p00,0,P00,test_-_P00_-_BROP03,64,pearson_r,0.09647310943418184,1000,eegnet_epoch_24,subject_independent_loso_taskA_fullscale_eegnet_p00
