dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_AUNP01,64,pearson_r,0.14631595461339333,990,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_AUNP02,64,pearson_r,0.11493998258423316,970,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_AUNP03,64,pearson_r,0.15194048558550882,890,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_AUNP04,64,pearson_r,0.09027519273237421,870,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_AUNP05,64,pearson_r,-0.002688372833554645,1191,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_AUNP06,64,pearson_r,0.2377245621886591,894,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_AUNP07,64,pearson_r,0.06909548031247048,1134,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_AUNP08,64,pearson_r,0.1846397673634261,1104,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_BROP01,64,pearson_r,0.16990237344167997,1017,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_BROP02,64,pearson_r,-0.010361154597820771,1120,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_BROP03,64,pearson_r,0.17435717249166763,1000,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_FLOP01,64,pearson_r,0.03955046073103782,779,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_FLOP02,64,pearson_r,0.09573824345278965,699,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_FLOP03,64,pearson_r,0.04889101126627555,655,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P00,test_-_P00_-_FLOP04,64,pearson_r,0.06957957032772043,1213,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_AUNP01,64,pearson_r,0.12632524388615166,990,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_AUNP02,64,pearson_r,0.06422725977662919,970,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_AUNP03,64,pearson_r,0.05039652329525971,890,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_AUNP04,64,pearson_r,0.13449794368896473,870,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_AUNP05,64,pearson_r,0.16087396127240486,1191,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_AUNP06,64,pearson_r,0.2207272733516365,894,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_AUNP07,64,pearson_r,-0.2199566740551293,1134,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_AUNP08,64,pearson_r,-0.01696124545381816,1104,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_BROP01,64,pearson_r,-0.017798524870801982,1017,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_BROP02,64,pearson_r,0.02798049077014947,1120,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_BROP03,64,pearson_r,-0.11357044425184834,1000,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_FLOP01,64,pearson_r,0.05633787032406872,779,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_FLOP02,64,pearson_r,-0.013269485135599083,699,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_FLOP03,64,pearson_r,-0.03460674828303933,655,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P01,test_-_P01_-_FLOP04,64,pearson_r,0.2429144939181249,1213,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P02,test_-_P02_-_AUNP01,64,pearson_r,-0.0317450401247168,990,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P02,test_-_P02_-_AUNP02,64,pearson_r,-0.00046907395482962083,970,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P02,test_-_P02_-_AUNP03,64,pearson_r,0.19220150467207567,890,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P02,test_-_P02_-_AUNP04,64,pearson_r,0.2271406303765391,870,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P02,test_-_P02_-_AUNP05,64,pearson_r,-0.024152578964129794,1191,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P02,test_-_P02_-_AUNP06,64,pearson_r,-0.013153494070065571,894,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P02,test_-_P02_-_AUNP07,64,pearson_r,0.017190369723677424,1134,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P02,test_-_P02_-_AUNP08,64,pearson_r,-0.00790565556124186,1104,ridge_alpha_0.001,subject_independent_loso_ridge_full
weissbart_tf64,ridge,reconstruction,gate0_gate2_loso_ridge_full_v1,0,P02,test_-_P02_-_BROP01,64,pearson_r,0.1385473382323795,1017,ridge_alpha_0.001,subject_independent_loso_ridge_full
