model,condition,mean_across_seeds,std_across_seeds,n_subjects,n_recordings
adt,clean,0.10959818886889246,0.009064020848186659,18.0,72.0
adt,fM,0.15080247680197548,0.004951293080374685,18.0,72.0
adt,fW,0.0984739538585986,0.005165487260132017,18.0,72.0
adt,hb,0.14967710004164902,0.00673701850854446,18.0,72.0
adt,lb,0.11386122192532043,0.004351026573080872,18.0,72.0
adt,mb,0.11617278964265265,0.004012667689728622,18.0,72.0
cca,clean,0.11255025128908991,5.930686927659007e-08,18.0,72.0
cca,fM,0.11691468559966277,1.0520713389307518e-08,18.0,72.0
cca,fW,0.1072277104043259,4.758214444607968e-08,18.0,72.0
cca,hb,0.0894750950437835,9.758782937777329e-09,18.0,72.0
cca,lb,0.07840331691172152,2.596892503324205e-09,18.0,72.0
cca,mb,0.05801847812024436,1.495902133844942e-08,18.0,72.0
cnn,clean,0.1383166589702244,0.006208732467628868,18.0,72.0
cnn,fM,0.16242357963617168,0.006726305482658587,18.0,72.0
cnn,fW,0.12034132820932375,0.002164569451413467,18.0,72.0
cnn,hb,0.11411543238545892,0.0006432644895103185,18.0,72.0
cnn,lb,0.10194739641968799,0.002706340750917643,18.0,72.0
cnn,mb,0.08236804112317973,0.0042481852414055716,18.0,72.0
dnn,clean,0.10754052784416886,0.005247842934500947,18.0,72.0
dnn,fM,0.10428858582493372,0.0009027253428805989,18.0,72.0
dnn,fW,0.07770991988627834,0.0021082649997489536,18.0,72.0
dnn,hb,0.063083570234561,0.004350935188969215,18.0,72.0
dnn,lb,0.06241211336672422,0.002944741499390046,18.0,72.0
dnn,mb,0.04314717237585513,0.0005781621121198498,18.0,72.0
eegnet,clean,0.15712136002552812,0.004438276971268446,18.0,72.0
eegnet,fM,0.1775146168191053,0.00562213428352015,18.0,72.0
eegnet,fW,0.13645750709197257,0.0021898449983145762,18.0,72.0
eegnet,hb,0.13588776011896542,0.0034352337067303017,18.0,72.0
eegnet,lb,0.11904492605084016,0.0024979287933334744,18.0,72.0
eegnet,mb,0.08414168060746811,0.001968155498657802,18.0,72.0
fcnn,clean,0.10762694810665019,0.005794452356736185,18.0,72.0
fcnn,fM,0.10455417955736106,0.0014225693481026492,18.0,72.0
fcnn,fW,0.0755195369808626,0.0027537004268375818,18.0,72.0
fcnn,hb,0.06200523643431045,0.004627236603636746,18.0,72.0
fcnn,lb,0.06255995173760591,0.002670801863826336,18.0,72.0
fcnn,mb,0.04448314066406902,0.003122800946003108,18.0,72.0
ridge,clean,0.17122300553120628,1.0012829773611053e-05,18.0,72.0
ridge,fM,0.16001940516244417,7.83750129580975e-06,18.0,72.0
ridge,fW,0.1365977935650786,6.098516332091535e-06,18.0,72.0
ridge,hb,0.12075050987483381,4.208079186241136e-06,18.0,72.0
ridge,lb,0.11704314426309387,6.248281167521903e-07,18.0,72.0
ridge,mb,0.08324596152197795,1.1359598085263282e-06,18.0,72.0
