dataset,model,seed,mean_pearson,std_subject_pearson,n_subjects
etard_tf64,adt,0,0.10137569567560042,0.043114340270220576,20
etard_tf64,adt,42,0.10315339686476518,0.0392048899427412,20
etard_tf64,adt,2026,0.09813953661517796,0.04065933091249867,20
etard_tf64,cca,0,0.06984979797586677,0.022949799656563904,20
etard_tf64,cca,42,0.06984979797586677,0.022949799656563904,20
etard_tf64,cca,2026,0.06984981843923808,0.022949815922986706,20
etard_tf64,cnn,0,0.0906041913926535,0.040120624564219706,20
etard_tf64,cnn,42,0.09533972929524641,0.039974243461472346,20
etard_tf64,cnn,2026,0.09517430001325392,0.03595952290548254,20
etard_tf64,dnn,0,0.06211022377989497,0.020645320816885828,20
etard_tf64,dnn,42,0.05636652969701907,0.027220011368629463,20
etard_tf64,dnn,2026,0.05556214626926054,0.029841851218822307,20
etard_tf64,eegnet,0,0.1028948861372075,0.041844384740981344,20
etard_tf64,eegnet,42,0.10474642425008238,0.03760300518251358,20
etard_tf64,eegnet,2026,0.10526592934482218,0.0411970351868001,20
etard_tf64,fcnn,0,0.062120754752264765,0.020509779266656574,20
etard_tf64,fcnn,42,0.0545064762287123,0.03007508559220648,20
etard_tf64,fcnn,2026,0.0558991674389521,0.03003343171667664,20
etard_tf64,ridge,0,0.1034135204772535,0.039369566913306495,20
etard_tf64,ridge,42,0.1034135204772535,0.039369566913306495,20
etard_tf64,ridge,2026,0.10341387268244476,0.0393669487020556,20
weissbart_tf64,adt,0,0.1352674970593222,0.043033190009359804,13
weissbart_tf64,adt,42,0.13231532660927092,0.043025829999681554,13
weissbart_tf64,adt,2026,0.12652103226855665,0.044353468442113644,13
weissbart_tf64,cca,0,0.08938459326420561,0.02497670940855209,13
weissbart_tf64,cca,42,0.08938459326420561,0.02497670940855209,13
weissbart_tf64,cca,2026,0.08938459326420561,0.02497670940855209,13
weissbart_tf64,cnn,0,0.1275109496397717,0.033446465011184076,13
weissbart_tf64,cnn,42,0.115929565655191,0.03869566822795757,13
weissbart_tf64,cnn,2026,0.13052704615581795,0.03209614397736347,13
weissbart_tf64,dnn,0,0.09177099322466188,0.03922820680024663,13
weissbart_tf64,dnn,42,0.0930326457839123,0.040670815537742974,13
weissbart_tf64,dnn,2026,0.09624560791037304,0.03540204231882128,13
weissbart_tf64,eegnet,0,0.14598709548030803,0.03385397535683834,13
weissbart_tf64,eegnet,42,0.1392591880724037,0.03528800497665172,13
weissbart_tf64,eegnet,2026,0.14141172105734662,0.03307479066375994,13
weissbart_tf64,fcnn,0,0.09186149498076686,0.03913556703621983,13
weissbart_tf64,fcnn,42,0.09069164253440018,0.04178746850232008,13
weissbart_tf64,fcnn,2026,0.0970359091623331,0.03482539622282805,13
weissbart_tf64,ridge,0,0.13318080735374047,0.02944324137936911,13
weissbart_tf64,ridge,42,0.13318080735374047,0.02944324137936911,13
weissbart_tf64,ridge,2026,0.13318080735374047,0.02944324137936911,13
