dataset,subject_id,model,seed,action,status,job_dir,checkpoint_id,subject_metric,num_recordings,error,source_protocol
weissbart_tf64,P00,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P00/ridge/seed_0,ridge_alpha_100.0,0.13254733446979064,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P00,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P00/cca/seed_0,cca_nc_2,0.06411140220705791,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P00,fcnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P00/fcnn/seed_0,fcnn_epoch_7,0.06643642328319224,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P00,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P00/adt/seed_0,adt_epoch_5,0.20621424426632606,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P00,dnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P00/dnn/seed_0,dnn_epoch_7,0.06553855512055622,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P00,cnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P00/cnn/seed_0,cnn_epoch_6,0.154926323613149,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P00,eegnet,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P00/eegnet/seed_0,eegnet_epoch_29,0.1558581841991332,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P01,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P01/ridge/seed_0,ridge_alpha_1.0,0.08419014163262838,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P01,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P01/cca/seed_0,cca_nc_4,0.09495414914277106,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P01,fcnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P01/fcnn/seed_0,fcnn_epoch_5,0.09669471547538426,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P01,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P01/adt/seed_0,adt_epoch_5,0.0942752946739429,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P01,dnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P01/dnn/seed_0,dnn_epoch_5,0.09668409091070873,15,,gate0_gate2_full_subject_single_seed_v1
