dataset,subject_id,model,seed,recording_id,zero_lag_pearson,num_valid_samples,zero_lag_r,best_lag_samples,best_lag_r,lag_sign_convention,lag_sweep_policy,prediction_hash,target_hash,job_key
weissbart_tf64,P06,vlaai,0,test_-_P06_-_AUNP01,0.16973344202643284,990,0.16973344202643284,7,0.18078126749324738,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",5c6de565161bc9e2536ff4c5b5847ce4d6bc8a3a3c4501f496a5a48012e6abbf,34f4f463be9a4f03d6c63af891bd85bcd5887aef825c3c8759afb3c4035880e7,weissbart_tf64:P06:vlaai:seed0
weissbart_tf64,P06,vlaai,0,test_-_P06_-_AUNP02,-0.1067208383256505,970,-0.1067208383256505,36,0.11256144444558767,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",fe48c4430d6abb39d055bac19c75d92684e6cbba00347ac4a7ef96f7bfe40aeb,ce5a1d6cc7bf65f969f8b44613927f81b28ec5928b467c65aa1b5b15ebfcf534,weissbart_tf64:P06:vlaai:seed0
weissbart_tf64,P06,vlaai,0,test_-_P06_-_AUNP03,0.2407530523467038,890,0.2407530523467038,7,0.25779699701603165,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",c068c840f8173db848b2d6c077b772c44004bd162ffa0ef76d3c18151726d160,6391d3f876b60d66e8fd09dfd15895de8852d4364f229a6dbb4f1f7e2ad1e415,weissbart_tf64:P06:vlaai:seed0
weissbart_tf64,P06,vlaai,0,test_-_P06_-_AUNP04,0.09309689475957267,870,0.09309689475957267,81,0.23773196993078263,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",7448a2a1e2369d834deed78d889098f99e4054f97e21e1fe55690a4c31c3d78b,c498040c8c17715afe13de86af3a7efde5b2f7d67ee1b82615965dc6852dbfa3,weissbart_tf64:P06:vlaai:seed0
weissbart_tf64,P06,vlaai,0,test_-_P06_-_AUNP05,-0.07562414548137295,1191,-0.07562414548137295,82,0.13909148678952069,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",e2c11826b417978766267ece6160c7b1a01fcb0199c79566cf1718231ac5d235,694bf40abf5924d3ceda59baaedac837a2cc2daf084f92d3daa9a7425eeb5b81,weissbart_tf64:P06:vlaai:seed0
weissbart_tf64,P06,vlaai,0,test_-_P06_-_AUNP06,0.2626538234612859,894,0.2626538234612859,-1,0.2635536799080006,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",99322e8c0cb5647660d2a05114c80fa4e1e4f446492518378c0a1af0f02346ea,e2821c3ff5bdc6e593382f1b9937421e3b3f53c59f085391a29fc972a2edd8da,weissbart_tf64:P06:vlaai:seed0
weissbart_tf64,P06,vlaai,0,test_-_P06_-_AUNP07,0.05895483607836807,1134,0.05895483607836807,-72,0.10248214993552017,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",29ef45c6330267f6e353ec20b048ed0fa7caa2ecc6bbd6cba869f248409d80d3,820f601465527b83e1b0063316215b6e4c0be93c57019dd179234e075081cbfe,weissbart_tf64:P06:vlaai:seed0
weissbart_tf64,P06,vlaai,0,test_-_P06_-_AUNP08,-0.03782918194297162,1104,-0.03782918194297162,35,0.1314454049477519,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",10f6f74df11731ff90d64a2272ce837182a7286f9f49db4eee7d4d6079a6627f,e152d529b9021d831bc02e26e7aee7d24b0134e2e7d8424fa6700495470d4f38,weissbart_tf64:P06:vlaai:seed0
weissbart_tf64,P06,vlaai,0,test_-_P06_-_BROP01,-0.004482547267593178,1017,-0.004482547267593178,63,0.17198898912108138,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",f5c7a8fef8380feb5a8692873d94f344d1e5f1552922aa2783480e36e17b73ba,f4311e045e535afff10543e8e64518b9741a7a38e2ff3ebd56b704dd5f4209ed,weissbart_tf64:P06:vlaai:seed0
weissbart_tf64,P06,vlaai,0,test_-_P06_-_BROP02,0.0685269962764009,1120,0.0685269962764009,-24,0.17751788952266281,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",3a14935423302ee66481920af7674fb30420e3f460abf9698adde68fabc41c75,db8128286cc692262397954a4b74e22fcad7c200bf3d97269260ba3c4c67a3db,weissbart_tf64:P06:vlaai:seed0
