dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope,recording_length,coverage_ratio,dropped_samples_reason,full_eval_not_capped,model_family_contract
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_AUNP01,64,pearson_r,0.36507075060828315,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,1039,0.6159769008662175,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_AUNP02,64,pearson_r,0.24276713194647007,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,1019,0.6280667320902846,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_AUNP03,64,pearson_r,0.12046759610553558,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,939,0.6815761448349308,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_AUNP04,64,pearson_r,0.09846392555904793,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,919,0.6964091403699674,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_AUNP05,64,pearson_r,0.09844938720650036,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,1240,0.5161290322580645,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_AUNP06,64,pearson_r,0.1872963712683189,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,943,0.6786850477200425,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_AUNP07,64,pearson_r,0.05363513455538951,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,1183,0.5409974640743872,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_AUNP08,64,pearson_r,0.017525608931553853,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,1153,0.5550737207285342,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_BROP01,64,pearson_r,0.06446915386412293,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,1066,0.600375234521576,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_BROP02,64,pearson_r,0.02749564796598299,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,1169,0.5474764756201882,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_BROP03,64,pearson_r,0.2289045438944975,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,1049,0.6101048617731173,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_FLOP01,64,pearson_r,0.014901079769227651,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,828,0.7729468599033816,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_FLOP02,64,pearson_r,0.10516811495701883,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,748,0.8556149732620321,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_FLOP03,64,pearson_r,0.36349606245568883,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,704,0.9090909090909091,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,0,P00,test_-_P00_-_FLOP04,64,pearson_r,-0.12840319906729225,640,happyquokka_epoch_32,subject_specific_happyquokka_seeded_weissbart_full,1262,0.5071315372424723,tail shorter than 10s chunk,True,10s_chunk
