dataset,subject_id,model,seed,protocol,epoch,train_loss,val_score,best_epoch,epochs_completed,is_best_epoch
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,1,1.0286003835499287,-0.00639596525579691,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,2,0.46812252700328827,0.026131153448174398,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,3,0.30107952654361725,0.011403677860895793,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,4,0.27237285673618317,0.051727802102686835,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,5,0.2384439781308174,0.09531360547989606,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,6,0.23437222838401794,0.12015744410455227,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,7,0.20789269730448723,0.07475339537486433,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,8,0.20568671450018883,0.06968611180782318,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,9,0.19077576138079166,0.1341494215031465,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,10,0.1517805177718401,0.14656152098129194,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,11,0.12459328025579453,0.14368382543325425,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,12,0.1263377908617258,0.12630304098129272,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,13,0.0850091204047203,0.1437649170557658,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,14,0.07434338051825762,0.16929274772604305,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,15,0.11111372895538807,0.13253097770114738,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,16,0.051867783069610596,0.15935039483010768,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,17,0.07732860837131739,0.16160374822405477,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,18,0.07396347913891077,0.1436133942566812,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,19,0.06544584408402443,0.1430084642022848,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,20,0.08076424291357398,0.17631766825603942,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,21,0.06380269024521112,0.13131187135974567,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,22,0.08685384970158339,0.15931608496854702,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,23,-0.009443938732147217,0.18600681996904314,31,41,False
