dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP01,64,pearson_r,0.14870361855298606,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP02,64,pearson_r,0.07274440160768841,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP03,64,pearson_r,0.04518772884993829,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP04,64,pearson_r,0.015400500376743152,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP05,64,pearson_r,0.06504125017557504,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP06,64,pearson_r,0.18704026978118107,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP07,64,pearson_r,0.06395126240137909,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP08,64,pearson_r,0.06945258076096135,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_BROP01,64,pearson_r,0.07525756152760289,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_BROP02,64,pearson_r,0.027494327164071016,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_BROP03,64,pearson_r,0.17075559943856977,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_FLOP01,64,pearson_r,0.01919289395898059,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_FLOP02,64,pearson_r,0.14041936023297877,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_FLOP03,64,pearson_r,0.05859956994219023,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_FLOP04,64,pearson_r,0.06336370239727493,256,linear_ols,subject_specific_local_model_smoke
weissbart_tf64,lasso,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP01,64,pearson_r,0.1261540935489583,256,lasso_alpha_0.001,subject_specific_local_model_smoke
weissbart_tf64,lasso,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP02,64,pearson_r,0.1226582335083595,256,lasso_alpha_0.001,subject_specific_local_model_smoke
weissbart_tf64,lasso,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP03,64,pearson_r,0.11104491402191774,256,lasso_alpha_0.001,subject_specific_local_model_smoke
weissbart_tf64,lasso,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP04,64,pearson_r,0.14705915130896088,256,lasso_alpha_0.001,subject_specific_local_model_smoke
weissbart_tf64,lasso,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP05,64,pearson_r,-0.019018219265245908,256,lasso_alpha_0.001,subject_specific_local_model_smoke
weissbart_tf64,lasso,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP06,64,pearson_r,0.23263827761184694,256,lasso_alpha_0.001,subject_specific_local_model_smoke
weissbart_tf64,lasso,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP07,64,pearson_r,0.13006910910430253,256,lasso_alpha_0.001,subject_specific_local_model_smoke
weissbart_tf64,lasso,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_AUNP08,64,pearson_r,0.03496390746108584,256,lasso_alpha_0.001,subject_specific_local_model_smoke
weissbart_tf64,lasso,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_BROP01,64,pearson_r,0.05522092130602972,256,lasso_alpha_0.001,subject_specific_local_model_smoke
weissbart_tf64,lasso,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_BROP02,64,pearson_r,0.09392684984867675,256,lasso_alpha_0.001,subject_specific_local_model_smoke
weissbart_tf64,lasso,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_BROP03,64,pearson_r,0.20675762191135824,256,lasso_alpha_0.001,subject_specific_local_model_smoke
weissbart_tf64,lasso,reconstruction,gate0_gate2_subject_specific_local_model_smoke_v1,0,P00,test_-_P00_-_FLOP01,64,pearson_r,0.02194784047942674,256,lasso_alpha_0.001,subject_specific_local_model_smoke
