dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope,recording_length,coverage_ratio,dropped_samples_reason,full_eval_not_capped,model_family_contract
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P00,test_-_P00_-_AUNP01,64,pearson_r,0.1516113884780842,990,linear_ols,subject_specific_local_models_weissbart_full,1039,0.9528392685274302,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P00,test_-_P00_-_AUNP02,64,pearson_r,0.07561369310093148,970,linear_ols,subject_specific_local_models_weissbart_full,1019,0.9519136408243376,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P00,test_-_P00_-_AUNP03,64,pearson_r,0.06539989310890029,890,linear_ols,subject_specific_local_models_weissbart_full,939,0.9478168264110756,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P00,test_-_P00_-_AUNP04,64,pearson_r,0.031683683987023425,870,linear_ols,subject_specific_local_models_weissbart_full,919,0.9466811751904244,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P00,test_-_P00_-_AUNP05,64,pearson_r,0.04358462371511216,1191,linear_ols,subject_specific_local_models_weissbart_full,1240,0.9604838709677419,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P00,test_-_P00_-_AUNP06,64,pearson_r,0.16804922845831938,894,linear_ols,subject_specific_local_models_weissbart_full,943,0.9480381760339343,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P00,test_-_P00_-_AUNP07,64,pearson_r,0.07281899073403798,1134,linear_ols,subject_specific_local_models_weissbart_full,1183,0.9585798816568047,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P00,test_-_P00_-_AUNP08,64,pearson_r,0.05496680552054779,1104,linear_ols,subject_specific_local_models_weissbart_full,1153,0.9575021682567216,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P00,test_-_P00_-_BROP01,64,pearson_r,0.08290486049088323,1017,linear_ols,subject_specific_local_models_weissbart_full,1066,0.9540337711069419,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P00,test_-_P00_-_BROP02,64,pearson_r,0.06803255997454537,1120,linear_ols,subject_specific_local_models_weissbart_full,1169,0.9580838323353293,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P00,test_-_P00_-_BROP03,64,pearson_r,0.18111576371284918,1000,linear_ols,subject_specific_local_models_weissbart_full,1049,0.9532888465204957,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P00,test_-_P00_-_FLOP01,64,pearson_r,0.019572895754821837,779,linear_ols,subject_specific_local_models_weissbart_full,828,0.9408212560386473,"lag range [0, 50) trims edges",True,lag_matrix_trf
