job_index,dataset,subject_id,model,seed,job_key,status,checkpoint_path
0,etard_tf64,P00,linear,0,etard_tf64:P00:linear:seed0,pending,local_checkpoints/gate0_gate2_subject_specific_modelset_etard_full_v1/etard_tf64__P00__linear__seed0.pt
1,etard_tf64,P00,ridge,0,etard_tf64:P00:ridge:seed0,pending,local_checkpoints/gate0_gate2_subject_specific_modelset_etard_full_v1/etard_tf64__P00__ridge__seed0.pt
2,etard_tf64,P00,lasso,0,etard_tf64:P00:lasso:seed0,pending,local_checkpoints/gate0_gate2_subject_specific_modelset_etard_full_v1/etard_tf64__P00__lasso__seed0.pt
3,etard_tf64,P00,elasticnet,0,etard_tf64:P00:elasticnet:seed0,pending,local_checkpoints/gate0_gate2_subject_specific_modelset_etard_full_v1/etard_tf64__P00__elasticnet__seed0.pt
4,etard_tf64,P00,cca,0,etard_tf64:P00:cca:seed0,pending,local_checkpoints/gate0_gate2_subject_specific_modelset_etard_full_v1/etard_tf64__P00__cca__seed0.pt
5,etard_tf64,P00,fcnn,0,etard_tf64:P00:fcnn:seed0,pending,local_checkpoints/gate0_gate2_subject_specific_modelset_etard_full_v1/etard_tf64__P00__fcnn__seed0.pt
6,etard_tf64,P00,dnn,0,etard_tf64:P00:dnn:seed0,pending,local_checkpoints/gate0_gate2_subject_specific_modelset_etard_full_v1/etard_tf64__P00__dnn__seed0.pt
7,etard_tf64,P00,cnn,0,etard_tf64:P00:cnn:seed0,pending,local_checkpoints/gate0_gate2_subject_specific_modelset_etard_full_v1/etard_tf64__P00__cnn__seed0.pt
8,etard_tf64,P00,eegnet,0,etard_tf64:P00:eegnet:seed0,pending,local_checkpoints/gate0_gate2_subject_specific_modelset_etard_full_v1/etard_tf64__P00__eegnet__seed0.pt
9,etard_tf64,P00,adt,0,etard_tf64:P00:adt:seed0,pending,local_checkpoints/gate0_gate2_subject_specific_modelset_etard_full_v1/etard_tf64__P00__adt__seed0.pt
10,etard_tf64,P00,vlaai,0,etard_tf64:P00:vlaai:seed0,pending,local_checkpoints/gate0_gate2_subject_specific_modelset_etard_full_v1/etard_tf64__P00__vlaai__seed0.pt
