dataset,model,task,protocol,seed,subject_id,metric_name,metric_value,num_recordings,checkpoint_id,artifact_scope
etard_tf64,linear,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P00,mean_recording_pearson_r,0.061655201979193414,24,linear_ols,subject_specific_modelset_etard_full
etard_tf64,ridge,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P00,mean_recording_pearson_r,0.08856214290957558,24,ridge_alpha_10.0,subject_specific_modelset_etard_full
etard_tf64,lasso,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P00,mean_recording_pearson_r,0.0672737203683371,24,lasso_alpha_0.001,subject_specific_modelset_etard_full
etard_tf64,elasticnet,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P00,mean_recording_pearson_r,0.07371741986277175,24,elasticnet_alpha_0.001_l1_0.5,subject_specific_modelset_etard_full
etard_tf64,cca,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P00,mean_recording_pearson_r,0.06378032829117325,24,cca_nc_1,subject_specific_modelset_etard_full
etard_tf64,fcnn,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P00,mean_recording_pearson_r,0.030763128998412787,24,fcnn_epoch_3,subject_specific_modelset_etard_full
etard_tf64,dnn,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P00,mean_recording_pearson_r,0.030763128998412787,24,dnn_epoch_3,subject_specific_modelset_etard_full
etard_tf64,cnn,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P00,mean_recording_pearson_r,0.10372100556580743,24,cnn_epoch_7,subject_specific_modelset_etard_full
etard_tf64,eegnet,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P00,mean_recording_pearson_r,0.11525693842195543,24,eegnet_epoch_21,subject_specific_modelset_etard_full
etard_tf64,adt,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P00,mean_recording_pearson_r,0.09653729770219559,24,adt_epoch_2,subject_specific_modelset_etard_full
etard_tf64,vlaai,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P00,mean_recording_pearson_r,0.06330305362686452,24,vlaai_epoch_3,subject_specific_modelset_etard_full
etard_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P00,mean_recording_pearson_r,0.03049110813386548,24,happyquokka_epoch_8,subject_specific_modelset_etard_full
etard_tf64,linear,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P01,mean_recording_pearson_r,0.04762968254443258,24,linear_ols,subject_specific_modelset_etard_full
etard_tf64,ridge,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P01,mean_recording_pearson_r,0.09348775988759624,24,ridge_alpha_1.0,subject_specific_modelset_etard_full
etard_tf64,lasso,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P01,mean_recording_pearson_r,0.06566299995511321,24,lasso_alpha_0.001,subject_specific_modelset_etard_full
etard_tf64,elasticnet,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P01,mean_recording_pearson_r,0.055342305391725334,24,elasticnet_alpha_0.01_l1_0.5,subject_specific_modelset_etard_full
etard_tf64,cca,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P01,mean_recording_pearson_r,0.09750545571009135,24,cca_nc_2,subject_specific_modelset_etard_full
etard_tf64,fcnn,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P01,mean_recording_pearson_r,0.05850848982264917,24,fcnn_epoch_4,subject_specific_modelset_etard_full
etard_tf64,dnn,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P01,mean_recording_pearson_r,0.05850848982264917,24,dnn_epoch_4,subject_specific_modelset_etard_full
etard_tf64,cnn,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P01,mean_recording_pearson_r,0.11210362231868476,24,cnn_epoch_5,subject_specific_modelset_etard_full
etard_tf64,eegnet,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P01,mean_recording_pearson_r,0.11202870856868123,24,eegnet_epoch_7,subject_specific_modelset_etard_full
etard_tf64,adt,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P01,mean_recording_pearson_r,0.11407502947759078,24,adt_epoch_4,subject_specific_modelset_etard_full
etard_tf64,vlaai,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P01,mean_recording_pearson_r,0.08019301782986758,24,vlaai_epoch_3,subject_specific_modelset_etard_full
etard_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P01,mean_recording_pearson_r,0.11125986653096158,24,happyquokka_epoch_53,subject_specific_modelset_etard_full
etard_tf64,linear,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P02,mean_recording_pearson_r,0.030045141067352836,40,linear_ols,subject_specific_modelset_etard_full
etard_tf64,ridge,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P02,mean_recording_pearson_r,0.07709051477923592,40,ridge_alpha_100.0,subject_specific_modelset_etard_full
etard_tf64,lasso,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P02,mean_recording_pearson_r,0.04455148191528506,40,lasso_alpha_0.001,subject_specific_modelset_etard_full
etard_tf64,elasticnet,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P02,mean_recording_pearson_r,0.052802310758472436,40,elasticnet_alpha_0.01_l1_0.2,subject_specific_modelset_etard_full
etard_tf64,cca,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P02,mean_recording_pearson_r,0.062069956552268456,40,cca_nc_4,subject_specific_modelset_etard_full
etard_tf64,fcnn,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P02,mean_recording_pearson_r,0.058882612785336644,40,fcnn_epoch_0,subject_specific_modelset_etard_full
etard_tf64,dnn,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P02,mean_recording_pearson_r,0.058882612785336644,40,dnn_epoch_0,subject_specific_modelset_etard_full
etard_tf64,cnn,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P02,mean_recording_pearson_r,0.09224652975993675,40,cnn_epoch_5,subject_specific_modelset_etard_full
etard_tf64,eegnet,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P02,mean_recording_pearson_r,0.10140083155815853,40,eegnet_epoch_7,subject_specific_modelset_etard_full
etard_tf64,adt,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P02,mean_recording_pearson_r,0.06372597147126047,40,adt_epoch_8,subject_specific_modelset_etard_full
etard_tf64,vlaai,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P02,mean_recording_pearson_r,0.07922880448766322,40,vlaai_epoch_1,subject_specific_modelset_etard_full
etard_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P02,mean_recording_pearson_r,0.07212337130653865,40,happyquokka_epoch_40,subject_specific_modelset_etard_full
etard_tf64,linear,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P03,mean_recording_pearson_r,0.06768664193737677,24,linear_ols,subject_specific_modelset_etard_full
etard_tf64,ridge,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P03,mean_recording_pearson_r,0.10403691476004627,24,ridge_alpha_10.0,subject_specific_modelset_etard_full
etard_tf64,lasso,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P03,mean_recording_pearson_r,0.0762165645313837,24,lasso_alpha_0.001,subject_specific_modelset_etard_full
etard_tf64,elasticnet,reconstruction,gate0_gate2_subject_specific_modelset_etard_full_v1,0,P03,mean_recording_pearson_r,0.07663978211226129,24,elasticnet_alpha_0.001_l1_0.8,subject_specific_modelset_etard_full
