dataset,model,seed,n_subjects,mean_pearson,std_pearson,median_pearson,min_pearson,max_pearson
etard_tf64,adt,0,20,0.10165352217347431,0.04391155587099734,0.09782845744039875,0.029009043521297694,0.18624417457124168
etard_tf64,cca,0,20,0.06984981264720638,0.023546091096203058,0.06700981615946441,0.016974706486111327,0.10525841471761169
etard_tf64,cnn,0,20,0.0906041913926535,0.04116289227502529,0.09520968706126462,0.009873358774490523,0.14942029236290666
etard_tf64,dnn,0,20,0.06211022377989497,0.021181652229977848,0.058695551303992906,0.024948257824387372,0.10726256598750193
etard_tf64,eegnet,0,20,0.10249686609866333,0.04210885247721692,0.10576195096396698,0.010072500647441378,0.1799249452720794
etard_tf64,elasticnet,0,20,0.06696387488600652,0.03424781494582776,0.057918778412350214,-0.0021333631940971577,0.12716406771101538
etard_tf64,fcnn,0,20,0.06211022377989497,0.021181652229977848,0.058695551303992906,0.024948257824387372,0.10726256598750193
etard_tf64,happyquokka,0,20,0.08546497928981808,0.05728856377620949,0.08750553285269244,-0.0001975521606870697,0.17580317733954276
etard_tf64,lasso,0,20,0.06730080669594138,0.03606895840141519,0.06316484351551088,0.0019871137331055806,0.1423991543183382
etard_tf64,linear,0,20,0.05738177045110519,0.0263931498329946,0.05162148306644129,0.025603464469676946,0.11900002631550947
etard_tf64,ridge,0,20,0.10341411453649649,0.040392161155705486,0.09688027111291737,0.04484871423582774,0.17576963859053327
etard_tf64,vlaai,0,20,0.07569846881099618,0.03467512439672056,0.07100408885916823,0.021354426827247586,0.14016780688126576
weissbart_tf64,adt,0,13,0.13526749705932217,0.04479036424552499,0.11841530013922809,0.06968193262957317,0.20621424426632606
weissbart_tf64,cca,0,13,0.08938459326420561,0.025996583377164373,0.09218244704746066,0.04335437285897882,0.1363743607291315
weissbart_tf64,cnn,0,13,0.1275109496397717,0.03481218450805777,0.12776042309188115,0.06586882154656479,0.20075091678744028
weissbart_tf64,dnn,0,13,0.09177099322466188,0.040830012158049774,0.09301722353610266,0.0020317051401170516,0.17704274109017717
weissbart_tf64,eegnet,0,13,0.14598709548030803,0.035236334723547355,0.14839113678460514,0.07786007898250835,0.21059654682046705
weissbart_tf64,elasticnet,0,13,0.11254125100407558,0.028160434636838177,0.10969724371258649,0.06002709546499239,0.16766181410204234
weissbart_tf64,fcnn,0,13,0.09186149498076686,0.040733589634563194,0.09301722644919923,0.0022999500064735407,0.17704273413877203
weissbart_tf64,happyquokka,0,13,0.12235722963892116,0.059885184843388076,0.11985516571673505,0.010693212790145965,0.2142479501669975
weissbart_tf64,lasso,0,13,0.112111914333451,0.029136741498960516,0.10910393989759545,0.054726549959807066,0.16914155612113527
weissbart_tf64,linear,0,13,0.09164744842806577,0.02512676042984572,0.09184350723991225,0.045803683113870355,0.13131834168122572
weissbart_tf64,ridge,0,13,0.13318080735374044,0.0306454972467535,0.14148315889106838,0.06673353980209834,0.17372779956779152
weissbart_tf64,vlaai,0,13,0.08433939007969493,0.048354840479639914,0.08132087080623955,-0.00432094181859644,0.181706730058688
