dataset,subject_id,model,seed,test_recording_rows
etard_tf64,P00,adt,0,24
etard_tf64,P00,cca,0,24
etard_tf64,P00,cnn,0,24
etard_tf64,P00,dnn,0,24
etard_tf64,P00,eegnet,0,24
etard_tf64,P00,elasticnet,0,24
etard_tf64,P00,fcnn,0,24
etard_tf64,P00,happyquokka,0,24
etard_tf64,P00,lasso,0,24
etard_tf64,P00,linear,0,24
etard_tf64,P00,ridge,0,24
etard_tf64,P00,vlaai,0,24
etard_tf64,P01,adt,0,24
etard_tf64,P01,cca,0,24
etard_tf64,P01,cnn,0,24
etard_tf64,P01,dnn,0,24
etard_tf64,P01,eegnet,0,24
etard_tf64,P01,elasticnet,0,24
etard_tf64,P01,fcnn,0,24
etard_tf64,P01,happyquokka,0,24
etard_tf64,P01,lasso,0,24
etard_tf64,P01,linear,0,24
etard_tf64,P01,ridge,0,24
etard_tf64,P01,vlaai,0,24
etard_tf64,P02,adt,0,40
etard_tf64,P02,cca,0,40
etard_tf64,P02,cnn,0,40
etard_tf64,P02,dnn,0,40
etard_tf64,P02,eegnet,0,40
etard_tf64,P02,elasticnet,0,40
etard_tf64,P02,fcnn,0,40
etard_tf64,P02,happyquokka,0,40
etard_tf64,P02,lasso,0,40
etard_tf64,P02,linear,0,40
etard_tf64,P02,ridge,0,40
etard_tf64,P02,vlaai,0,40
etard_tf64,P03,adt,0,24
etard_tf64,P03,cca,0,24
etard_tf64,P03,cnn,0,24
etard_tf64,P03,dnn,0,24
etard_tf64,P03,eegnet,0,24
etard_tf64,P03,elasticnet,0,24
etard_tf64,P03,fcnn,0,24
etard_tf64,P03,happyquokka,0,24
etard_tf64,P03,lasso,0,24
etard_tf64,P03,linear,0,24
etard_tf64,P03,ridge,0,24
etard_tf64,P03,vlaai,0,24
etard_tf64,P04,adt,0,24
etard_tf64,P04,cca,0,24
etard_tf64,P04,cnn,0,24
etard_tf64,P04,dnn,0,24
etard_tf64,P04,eegnet,0,24
etard_tf64,P04,elasticnet,0,24
etard_tf64,P04,fcnn,0,24
etard_tf64,P04,happyquokka,0,24
etard_tf64,P04,lasso,0,24
etard_tf64,P04,linear,0,24
etard_tf64,P04,ridge,0,24
etard_tf64,P04,vlaai,0,24
etard_tf64,P05,adt,0,24
etard_tf64,P05,cca,0,24
etard_tf64,P05,cnn,0,24
etard_tf64,P05,dnn,0,24
etard_tf64,P05,eegnet,0,24
etard_tf64,P05,elasticnet,0,24
etard_tf64,P05,fcnn,0,24
etard_tf64,P05,happyquokka,0,24
etard_tf64,P05,lasso,0,24
etard_tf64,P05,linear,0,24
etard_tf64,P05,ridge,0,24
etard_tf64,P05,vlaai,0,24
etard_tf64,P06,adt,0,40
etard_tf64,P06,cca,0,40
etard_tf64,P06,cnn,0,40
etard_tf64,P06,dnn,0,40
etard_tf64,P06,eegnet,0,40
etard_tf64,P06,elasticnet,0,40
etard_tf64,P06,fcnn,0,40
etard_tf64,P06,happyquokka,0,40
etard_tf64,P06,lasso,0,40
etard_tf64,P06,linear,0,40
etard_tf64,P06,ridge,0,40
etard_tf64,P06,vlaai,0,40
etard_tf64,P07,adt,0,40
etard_tf64,P07,cca,0,40
etard_tf64,P07,cnn,0,40
etard_tf64,P07,dnn,0,40
etard_tf64,P07,eegnet,0,40
etard_tf64,P07,elasticnet,0,40
etard_tf64,P07,fcnn,0,40
etard_tf64,P07,happyquokka,0,40
etard_tf64,P07,lasso,0,40
etard_tf64,P07,linear,0,40
etard_tf64,P07,ridge,0,40
etard_tf64,P07,vlaai,0,40
etard_tf64,P08,adt,0,40
etard_tf64,P08,cca,0,40
etard_tf64,P08,cnn,0,40
etard_tf64,P08,dnn,0,40
etard_tf64,P08,eegnet,0,40
etard_tf64,P08,elasticnet,0,40
