dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope,recording_length,coverage_ratio,dropped_samples_reason,full_eval_not_capped,model_family_contract
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP01,64,pearson_r,0.1216234280031565,990,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,1039,0.9528392685274302,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP02,64,pearson_r,0.14105925243118891,970,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,1019,0.9519136408243376,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP03,64,pearson_r,0.3244506286529927,890,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,939,0.9478168264110756,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP04,64,pearson_r,0.07900414548636783,870,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,919,0.9466811751904244,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP05,64,pearson_r,0.026967419058764437,1191,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,1240,0.9604838709677419,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP06,64,pearson_r,0.08596278698309007,894,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,943,0.9480381760339343,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP07,64,pearson_r,-0.010813785727016812,1134,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,1183,0.9585798816568047,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP08,64,pearson_r,-0.013701734426647023,1104,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,1153,0.9575021682567216,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_BROP01,64,pearson_r,0.24001447842315576,1017,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,1066,0.9540337711069419,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_BROP02,64,pearson_r,0.14555801476095187,1120,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,1169,0.9580838323353293,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
