native_index_1based,channel_label,sensor_type,is_magnetometer,is_gradiometer,mag102_index_1based
1,MEG0111,megmag,1,0,1
2,MEG0112,megplanar,0,1,
3,MEG0113,megplanar,0,1,
4,MEG0121,megmag,1,0,2
5,MEG0122,megplanar,0,1,
6,MEG0123,megplanar,0,1,
7,MEG0131,megmag,1,0,3
8,MEG0132,megplanar,0,1,
9,MEG0133,megplanar,0,1,
10,MEG0141,megmag,1,0,4
11,MEG0142,megplanar,0,1,
12,MEG0143,megplanar,0,1,
13,MEG0211,megmag,1,0,5
14,MEG0212,megplanar,0,1,
15,MEG0213,megplanar,0,1,
16,MEG0221,megmag,1,0,6
17,MEG0222,megplanar,0,1,
18,MEG0223,megplanar,0,1,
19,MEG0231,megmag,1,0,7
20,MEG0232,megplanar,0,1,
21,MEG0233,megplanar,0,1,
22,MEG0241,megmag,1,0,8
23,MEG0242,megplanar,0,1,
24,MEG0243,megplanar,0,1,
25,MEG0311,megmag,1,0,9
26,MEG0312,megplanar,0,1,
27,MEG0313,megplanar,0,1,
28,MEG0321,megmag,1,0,10
29,MEG0322,megplanar,0,1,
30,MEG0323,megplanar,0,1,
31,MEG0331,megmag,1,0,11
32,MEG0332,megplanar,0,1,
33,MEG0333,megplanar,0,1,
34,MEG0341,megmag,1,0,12
35,MEG0342,megplanar,0,1,
36,MEG0343,megplanar,0,1,
37,MEG0411,megmag,1,0,13
38,MEG0412,megplanar,0,1,
39,MEG0413,megplanar,0,1,
40,MEG0421,megmag,1,0,14
41,MEG0422,megplanar,0,1,
42,MEG0423,megplanar,0,1,
43,MEG0431,megmag,1,0,15
44,MEG0432,megplanar,0,1,
45,MEG0433,megplanar,0,1,
46,MEG0441,megmag,1,0,16
47,MEG0442,megplanar,0,1,
48,MEG0443,megplanar,0,1,
49,MEG0511,megmag,1,0,17
50,MEG0512,megplanar,0,1,
51,MEG0513,megplanar,0,1,
52,MEG0521,megmag,1,0,18
53,MEG0522,megplanar,0,1,
54,MEG0523,megplanar,0,1,
55,MEG0531,megmag,1,0,19
56,MEG0532,megplanar,0,1,
57,MEG0533,megplanar,0,1,
58,MEG0541,megmag,1,0,20
59,MEG0542,megplanar,0,1,
60,MEG0543,megplanar,0,1,
61,MEG0611,megmag,1,0,21
62,MEG0612,megplanar,0,1,
63,MEG0613,megplanar,0,1,
64,MEG0621,megmag,1,0,22
65,MEG0622,megplanar,0,1,
66,MEG0623,megplanar,0,1,
67,MEG0631,megmag,1,0,23
68,MEG0632,megplanar,0,1,
69,MEG0633,megplanar,0,1,
70,MEG0641,megmag,1,0,24
71,MEG0642,megplanar,0,1,
72,MEG0643,megplanar,0,1,
73,MEG0711,megmag,1,0,25
74,MEG0712,megplanar,0,1,
75,MEG0713,megplanar,0,1,
76,MEG0721,megmag,1,0,26
77,MEG0722,megplanar,0,1,
78,MEG0723,megplanar,0,1,
79,MEG0731,megmag,1,0,27
80,MEG0732,megplanar,0,1,
81,MEG0733,megplanar,0,1,
82,MEG0741,megmag,1,0,28
83,MEG0742,megplanar,0,1,
84,MEG0743,megplanar,0,1,
85,MEG0811,megmag,1,0,29
86,MEG0812,megplanar,0,1,
87,MEG0813,megplanar,0,1,
88,MEG0821,megmag,1,0,30
89,MEG0822,megplanar,0,1,
90,MEG0823,megplanar,0,1,
91,MEG0911,megmag,1,0,31
92,MEG0912,megplanar,0,1,
93,MEG0913,megplanar,0,1,
94,MEG0921,megmag,1,0,32
95,MEG0922,megplanar,0,1,
96,MEG0923,megplanar,0,1,
97,MEG0931,megmag,1,0,33
98,MEG0932,megplanar,0,1,
99,MEG0933,megplanar,0,1,
100,MEG0941,megmag,1,0,34
101,MEG0942,megplanar,0,1,
102,MEG0943,megplanar,0,1,
103,MEG1011,megmag,1,0,35
104,MEG1012,megplanar,0,1,
105,MEG1013,megplanar,0,1,
106,MEG1021,megmag,1,0,36
107,MEG1022,megplanar,0,1,
108,MEG1023,megplanar,0,1,
109,MEG1031,megmag,1,0,37
110,MEG1032,megplanar,0,1,
111,MEG1033,megplanar,0,1,
112,MEG1041,megmag,1,0,38
113,MEG1042,megplanar,0,1,
114,MEG1043,megplanar,0,1,
115,MEG1111,megmag,1,0,39
116,MEG1112,megplanar,0,1,
117,MEG1113,megplanar,0,1,
118,MEG1121,megmag,1,0,40
119,MEG1122,megplanar,0,1,
120,MEG1123,megplanar,0,1,
121,MEG1131,megmag,1,0,41
122,MEG1132,megplanar,0,1,
123,MEG1133,megplanar,0,1,
124,MEG1141,megmag,1,0,42
125,MEG1142,megplanar,0,1,
126,MEG1143,megplanar,0,1,
127,MEG1211,megmag,1,0,43
128,MEG1212,megplanar,0,1,
129,MEG1213,megplanar,0,1,
130,MEG1221,megmag,1,0,44
131,MEG1222,megplanar,0,1,
132,MEG1223,megplanar,0,1,
133,MEG1231,megmag,1,0,45
134,MEG1232,megplanar,0,1,
135,MEG1233,megplanar,0,1,
136,MEG1241,megmag,1,0,46
137,MEG1242,megplanar,0,1,
138,MEG1243,megplanar,0,1,
139,MEG1311,megmag,1,0,47
140,MEG1312,megplanar,0,1,
141,MEG1313,megplanar,0,1,
142,MEG1321,megmag,1,0,48
143,MEG1322,megplanar,0,1,
144,MEG1323,megplanar,0,1,
145,MEG1331,megmag,1,0,49
146,MEG1332,megplanar,0,1,
147,MEG1333,megplanar,0,1,
148,MEG1341,megmag,1,0,50
149,MEG1342,megplanar,0,1,
150,MEG1343,megplanar,0,1,
151,MEG1411,megmag,1,0,51
152,MEG1412,megplanar,0,1,
153,MEG1413,megplanar,0,1,
154,MEG1421,megmag,1,0,52
155,MEG1422,megplanar,0,1,
156,MEG1423,megplanar,0,1,
157,MEG1431,megmag,1,0,53
158,MEG1432,megplanar,0,1,
159,MEG1433,megplanar,0,1,
160,MEG1441,megmag,1,0,54
161,MEG1442,megplanar,0,1,
162,MEG1443,megplanar,0,1,
163,MEG1511,megmag,1,0,55
164,MEG1512,megplanar,0,1,
165,MEG1513,megplanar,0,1,
166,MEG1521,megmag,1,0,56
