run_label,sensor_type,band_hz,channel_count,median_relative_power,mean_relative_power
task-audiobook1_run-01,mag,0.5-4,102,0.594275516549787,0.593455128069647
task-audiobook1_run-01,mag,4-8,102,0.401093916225557,0.401482250473486
task-audiobook1_run-01,mag,8-16,102,0.00490252895765057,0.00506262145686768
task-audiobook1_run-01,grad,0.5-4,204,0.580712900783262,0.596009780169722
task-audiobook1_run-01,grad,4-8,204,0.413599168724815,0.399113541444459
task-audiobook1_run-01,grad,8-16,204,0.00460353425994001,0.00487667838581915
task-audiobook1_run-02,mag,0.5-4,102,0.591520933344474,0.591335449447401
task-audiobook1_run-02,mag,4-8,102,0.404595441662179,0.404243233054495
task-audiobook1_run-02,mag,8-16,102,0.00419746017175976,0.00442131749810364
task-audiobook1_run-02,grad,0.5-4,204,0.591949004130596,0.596466693405898
task-audiobook1_run-02,grad,4-8,204,0.40317091092542,0.399146545582866
task-audiobook1_run-02,grad,8-16,204,0.00403112408482092,0.00438676101123568
task-audiobook2_run-01,mag,0.5-4,102,0.598209868315575,0.601076073289253
task-audiobook2_run-01,mag,4-8,102,0.397078425563366,0.394300618579135
task-audiobook2_run-01,mag,8-16,102,0.0043638852324548,0.00462330813161177
task-audiobook2_run-01,grad,0.5-4,204,0.59087509388008,0.605207142555822
task-audiobook2_run-01,grad,4-8,204,0.405011398442319,0.390401561024297
task-audiobook2_run-01,grad,8-16,204,0.0041912787844184,0.00439129641988177
task-audiobook2_run-02,mag,0.5-4,102,0.596337178217393,0.601813815120593
task-audiobook2_run-02,mag,4-8,102,0.399215435791733,0.39394051780535
task-audiobook2_run-02,mag,8-16,102,0.00408696661235695,0.00424566707405705
task-audiobook2_run-02,grad,0.5-4,204,0.582402607589681,0.602047426034105
task-audiobook2_run-02,grad,4-8,204,0.413516097844099,0.393844687421719
task-audiobook2_run-02,grad,8-16,204,0.00379491407260218,0.00410788654417573
