subject_id,run_label,signal,band_hz,absolute_power,relative_power_0p5_16
sub-03,task-audiobook1_run-01,envelope,0.5-4,7.77690103867462e-07,0.788170923955301
sub-03,task-audiobook1_run-01,envelope,4-8,2.08496136172602e-07,0.211306009258768
sub-03,task-audiobook1_run-01,envelope,8-16,5.16111227548211e-10,0.000523066785931102
sub-03,task-audiobook1_run-01,meg_mean_channels,0.5-4,1.39437788473984e-28,0.535919022100046
sub-03,task-audiobook1_run-01,meg_mean_channels,4-8,1.19031622635256e-28,0.457489404413283
sub-03,task-audiobook1_run-01,meg_mean_channels,8-16,1.71502482957883e-30,0.0065915734866712
sub-03,task-audiobook1_run-02,envelope,0.5-4,7.38523024528101e-07,0.779109936963526
sub-03,task-audiobook1_run-02,envelope,4-8,2.08829453657325e-07,0.220306066393865
sub-03,task-audiobook1_run-02,envelope,8-16,5.53573951956593e-10,0.000583996642608589
sub-03,task-audiobook1_run-02,meg_mean_channels,0.5-4,1.27109512389443e-28,0.538501072505811
sub-03,task-audiobook1_run-02,meg_mean_channels,4-8,1.07455786856076e-28,0.455237813293338
sub-03,task-audiobook1_run-02,meg_mean_channels,8-16,1.47789338539571e-30,0.00626111420085135
sub-03,task-audiobook2_run-01,envelope,0.5-4,9.27772737065557e-07,0.723518945013204
sub-03,task-audiobook2_run-01,envelope,4-8,3.53430772334224e-07,0.275621226318047
sub-03,task-audiobook2_run-01,envelope,8-16,1.1025635236105e-09,0.00085982866874902
sub-03,task-audiobook2_run-01,meg_mean_channels,0.5-4,1.43566057030564e-28,0.559088319498465
sub-03,task-audiobook2_run-01,meg_mean_channels,4-8,1.11672192687991e-28,0.4348842605
sub-03,task-audiobook2_run-01,meg_mean_channels,8-16,1.54775711369499e-30,0.00602742000153494
sub-03,task-audiobook2_run-02,envelope,0.5-4,9.00236597329011e-07,0.728602813516158
sub-03,task-audiobook2_run-02,envelope,4-8,3.34424066203394e-07,0.27066475220653
sub-03,task-audiobook2_run-02,envelope,8-16,9.04970622324394e-10,0.000732434277312593
sub-03,task-audiobook2_run-02,meg_mean_channels,0.5-4,1.44858649287221e-28,0.541218075037821
sub-03,task-audiobook2_run-02,meg_mean_channels,4-8,1.2121233832609e-28,0.45287118679124
sub-03,task-audiobook2_run-02,meg_mean_channels,8-16,1.58202688938777e-30,0.00591073817093818
