target_eeg_channel,target_order,selected_meg_mag_channel,selected_meg_mag_order,distance,coordinate_frame,mapping_status,blocked_reason,meg_x,meg_y,meg_z
,,MEG0111,0,,device,blocked_no_confirmed_target_eeg64_coordinates,Existing EEG data exposes channel names but no accepted target EEG64 coordinate source; no BioSemi64 or other standard montage assumed.,-0.10660000145435333,0.04639999940991402,-0.06040000170469284
,,MEG0121,1,,device,blocked_no_confirmed_target_eeg64_coordinates,Existing EEG data exposes channel names but no accepted target EEG64 coordinate source; no BioSemi64 or other standard montage assumed.,-0.10199999809265137,0.06310000270605087,-0.025599999353289604
,,MEG0131,2,,device,blocked_no_confirmed_target_eeg64_coordinates,Existing EEG data exposes channel names but no accepted target EEG64 coordinate source; no BioSemi64 or other standard montage assumed.,-0.10849999636411667,0.03020000085234642,-0.026599999517202377
,,MEG0141,3,,device,blocked_no_confirmed_target_eeg64_coordinates,Existing EEG data exposes channel names but no accepted target EEG64 coordinate source; no BioSemi64 or other standard montage assumed.,-0.10989999771118164,0.013100000098347664,-0.06270000338554382
,,MEG0211,4,,device,blocked_no_confirmed_target_eeg64_coordinates,Existing EEG data exposes channel names but no accepted target EEG64 coordinate source; no BioSemi64 or other standard montage assumed.,-0.10740000009536743,0.03290000185370445,0.00800000037997961
,,MEG0221,5,,device,blocked_no_confirmed_target_eeg64_coordinates,Existing EEG data exposes channel names but no accepted target EEG64 coordinate source; no BioSemi64 or other standard montage assumed.,-0.09889999777078629,0.040300000458955765,0.04129999876022339
,,MEG0231,6,,device,blocked_no_confirmed_target_eeg64_coordinates,Existing EEG data exposes channel names but no accepted target EEG64 coordinate source; no BioSemi64 or other standard montage assumed.,-0.10109999775886536,0.004399999976158142,0.040800001472234726
,,MEG0241,7,,device,blocked_no_confirmed_target_eeg64_coordinates,Existing EEG data exposes channel names but no accepted target EEG64 coordinate source; no BioSemi64 or other standard montage assumed.,-0.10830000042915344,-0.0010999999940395355,0.0071000000461936
,,MEG0311,8,,device,blocked_no_confirmed_target_eeg64_coordinates,Existing EEG data exposes channel names but no accepted target EEG64 coordinate source; no BioSemi64 or other standard montage assumed.,-0.08609999716281891,0.09880000352859497,0.008999999612569809
,,MEG0321,9,,device,blocked_no_confirmed_target_eeg64_coordinates,Existing EEG data exposes channel names but no accepted target EEG64 coordinate source; no BioSemi64 or other standard montage assumed.,-0.08869999647140503,0.07569999992847443,0.041200000792741776
