dataset,model_id,display_name,mean_metric,std_metric,n_subjects,metric_name,best_epoch,epochs_requested,source
hugo_sample_tf64,adt_exact,ADT-exact,0.14465793564410045,0.041640387189825406,13,pearson_metric,11,100,E:\decode\experiments\adt_exact_reference\hugo_sample_tf64_all_e100\summary.json
hugo_sample_tf64,vlaai_exact,VLAAI-exact,0.1477499904970351,0.04114515646434095,13,pearson_metric,6,100,E:\decode\experiments\vlaai_exact_reference\hugo_sample_tf64_all_e100\summary.json
hugo_sample_tf64,happyquokka_gcon,HappyQuokka (g-con),0.11045714467763901,0.04049859941005707,13,pearson_metric,18,20,E:\decode\experiments\happyquokka_reference\hugo_sample_tf64_e20_gcon\summary.json
hugo_sample_tf64,null_gcon,NULL,0.2103075236082077,0.04210355132818222,13,pearson_metric,8,10,E:\decode\experiments\neuroconformer_reference\hugo_sample_tf64_e10_gcon\summary.json
weissbart_tf64,adt_exact,ADT-exact,0.1146710381025781,0.03926196174429077,13,pearson_metric,14,100,E:\decode\experiments\adt_exact_reference\weissbart_tf64_all_e100\summary.json
weissbart_tf64,vlaai_exact,VLAAI-exact,0.13891691943438697,0.03346938705063725,13,pearson_metric,6,100,E:\decode\experiments\vlaai_exact_reference\weissbart_tf64_all_e100\summary.json
weissbart_tf64,happyquokka_gcon,HappyQuokka (g-con),0.15765976905822754,0.05383545532822609,13,pearson_metric,90,100,E:\decode\experiments\happyquokka_reference\weissbart_tf64_e100_gcon\summary.json
weissbart_tf64,null_gcon,NULL,0.19929049909114838,0.057500988245010376,13,pearson_metric,10,10,E:\decode\experiments\neuroconformer_reference\weissbart_tf64_e10_gcon\summary.json
etard_tf64,adt_exact,ADT-exact,0.08597070755065966,0.044532857832957816,20,pearson_metric,5,100,E:\decode\experiments\adt_exact_reference\etard_tf64_all_e100\summary.json
etard_tf64,vlaai_exact,VLAAI-exact,0.11283406731633687,0.04158826354333961,20,pearson_metric,5,100,E:\decode\experiments\vlaai_exact_reference\etard_tf64_all_e100\summary.json
etard_tf64,happyquokka_gcon,HappyQuokka (g-con),0.12868241965770721,0.05073249340057373,20,pearson_metric,94,100,E:\decode\experiments\happyquokka_reference\etard_tf64_e100_gcon\summary.json
etard_tf64,null_gcon,NULL,0.14799360930919647,0.06130240112543106,20,pearson_metric,9,10,E:\decode\experiments\neuroconformer_reference\etard_tf64_e10_gcon\summary.json
